"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"9d306a2a-8a5f-4cbe-b674-21ea1bf4b690","0","25","10","5","1729095466066","1729095479183","200001","1090519040","1090519040","0.8322698585527412","0.9295339679389787","0","0.0"
"3724bdd6-66ca-4eeb-9fd6-028af6f56526","0","25","10","2","1729095486205","1729095499887","200001","1090519040","1090519040","0.8404232737042461","0.926322345688318","0","0.0"
"2c74a8b5-d944-463c-b707-52e90f9d4afc","0","25","100","50","1729095506880","1729095521493","200001","1090519040","1090519040","0.8477793657357391","0.9268749885884814","0","0.0"
"84dfaa2d-c457-4725-88c4-b866f15574ef","0","25","100","20","1729095528519","1729095545309","200001","1090519040","1090519040","0.8662430179314002","0.9301005387121022","0","0.0"
"1c9b090d-4372-4e5f-972f-e3555513f35b","0","25","1000","500","1729095552334","1729095591503","200001","1090519040","1090519040","0.9330189003442078","0.9371344277217025","1999","0.009994950025249874"
"7d1f23af-7fc3-49ad-a8f5-a78c1187c9dc","0","25","1000","200","1729095598533","1729095667853","200001","1090519040","1090519040","0.9591445566087936","0.962487495616315","1999","0.009994950025249874"
"38157ce2-710d-4ef3-90b5-043b09925413","0","25","10000","5000","1729095674877","1729096274880","198441","1090519040","1090519040","0.9894142415795486","0.9921769308616267","1983","0.009992894613512328"
"7833bc63-859a-47ce-be7d-5b014acf86da","0","25","10000","2000","1729096281949","1729096881952","80477","1090519040","1090519040","0.9889194242046224","0.9944720877740623","803","0.009978006138399791"
"cf2d7257-a432-4e60-babf-887b2a793a80","0","25","10","5","1729101667477","1729101680718","200001","1090519040","1090519040","0.8349634410264392","0.9279023490090086","0","0.0"
"8e9e057b-04f4-4c7d-8b24-fa4120f6e392","0","25","10","2","1729101687792","1729101701422","200001","1090519040","1090519040","0.8385412899847834","0.9285836825723599","0","0.0"
"c4998bd1-ff46-4eec-b8c4-d8c33e707810","0","25","100","50","1729101708508","1729101723192","200001","1090519040","1090519040","0.8479288628526106","0.9278494270091215","0","0.0"
"78151c5a-1541-48e2-afe1-379e04826849","0","25","100","20","1729101730266","1729101747232","200001","1090519040","1090519040","0.8674071876377958","0.9284744724150314","0","0.0"
"93319597-2615-488b-916f-c23762bb965f","0","25","1000","500","1729101754298","1729101852620","200001","1090519040","1090519040","0.9321468931479047","0.9358247566219398","1999","0.009994950025249874"
"bec7e97f-337c-441e-ad52-21a4621c9f9d","0","25","1000","200","1729101859625","1729101929248","200001","1090519040","1090519040","0.960198065325054","0.9626207034177767","1999","0.009994950025249874"
"07e00ebe-5e3c-4874-9fe8-2316351340c4","0","25","10000","5000","1729101936246","1729103475789","174158","1090519040","1090519040","0.9890211146322623","0.991981502154292","1740","0.00999092777822437"
"62984ccf-3980-483d-8a11-54e4f57cf8d6","0","25","10000","2000","1729104049893","1729104649896","43113","1090519040","1090519040","0.9821798414567215","0.9934400357254579","430","0.009973789808178507"
