"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"stock-graph-pearson-41fb4e58-79fa-4a4b-8ec2-b3ab6a9dfd3b","0","1","10000","5000","1729679837941","1729679847113","200001","426984611","1144999328","0.753222851627406","0.9382570064538944","2","9.999950000249999E-6"
"stock-graph-pearson-42b6d586-7b05-404e-8dcb-4fe1cc73d8be","0","1","10000","2000","1729679861193","1729679869750","200001","327046142","876537232","0.7178100404742677","0.9356847375540397","2","9.999950000249999E-6"
"stock-graph-pearson-03073054-7f55-4438-93aa-b78f725cd3e4","0","1","100000","50000","1729679883275","1729679891622","200001","579218513","1145396664","0.7100996237293216","0.9363235935171992","2","9.999950000249999E-6"
"stock-graph-pearson-5af7fdf7-b542-4ee3-8cd4-fe0d1cfa1518","0","1","100000","20000","1729679905133","1729679913618","200001","417596988","899189872","0.7099675783707667","0.9364277047317129","2","9.999950000249999E-6"
"stock-graph-pearson-1ca08b27-2242-40bc-977b-d34d41c0932f","0","1","1000000","500000","1729679927142","1729679935681","200001","347575397","1077224048","0.7086585183830583","0.9369021608230396","2","9.999950000249999E-6"
"stock-graph-pearson-7f9f5326-5b16-436f-8e56-342271ba940b","0","1","1000000","200000","1729679949167","1729679958449","200001","515014244","1108877072","0.745881437700525","0.9365612721194969","2","9.999950000249999E-6"
"stock-graph-pearson-b286a47b-844e-44bc-a17d-698a3d5817e2","0","1","10000000","5000000","1729679972003","1729679980524","200001","566665918","1886366376","0.703657391953307","0.937790188348664","2","9.999950000249999E-6"
"stock-graph-pearson-f4065821-eba2-4337-81ec-dec1b3d9e09d","0","1","10000000","2000000","1729679994106","1729680002943","200001","616431665","1570951616","0.7053777562015047","0.9355679235794749","2","9.999950000249999E-6"
"stock-graph-pearson-9edc4883-e9d6-451a-a07e-a9437b67b810","0","1","10000","5000","1729683244735","1729683253149","200001","411883711","863564968","0.7059958101905583","0.938043685626635","2","9.999950000249999E-6"
"stock-graph-pearson-e6b4e798-09a6-47fe-9044-11973faaa1f2","0","1","10000","2000","1729683266626","1729683275716","200001","401149710","952753056","0.7510591166742414","0.935981812694201","2","9.999950000249999E-6"
"stock-graph-pearson-35083b6c-3d96-4105-b422-ad4141324aea","0","1","100000","50000","1729683289156","1729683298199","200001","467294836","1144931600","0.7469250953192331","0.9370606929073494","2","9.999950000249999E-6"
"stock-graph-pearson-c651a489-2cd7-4cb6-85d8-e9f241635b61","0","1","100000","20000","1729683311649","1729683320144","200001","353317555","890760248","0.7099746110804637","0.9364870946740133","2","9.999950000249999E-6"
"stock-graph-pearson-8e0429f0-bace-47c1-9518-7d159df49cf2","0","1","1000000","500000","1729683333578","1729683341912","200001","459222569","950195152","0.7083628321341598","0.9371157849146827","2","9.999950000249999E-6"
"stock-graph-pearson-e78e1986-ca7b-4bb1-8185-9f3fdce42577","0","1","1000000","200000","1729683355347","1729683363969","200001","350703170","1424197360","0.7094683688709162","0.936461942682688","2","9.999950000249999E-6"
"stock-graph-pearson-492e65e8-03f5-4225-97b1-2a01a94cd579","0","1","10000000","5000000","1729683377452","1729683386060","200001","777794547","1668402264","0.6996688359278476","0.936843716991683","2","9.999950000249999E-6"
"stock-graph-pearson-932466e2-7d96-46f4-b858-161259418661","0","1","10000000","2000000","1729683399906","1729683408858","200001","735990989","2720411568","0.7049155066706302","0.9365931217737895","2","9.999950000249999E-6"
