"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"stock-graph-pearson-ee2faa0a-4c7d-4ed2-97f2-a9bf27c6ae57","0","1","10000","5000","1729682024333","1729682033743","200001","486756542","949483672","0.7496532192676314","0.9361913170487122","0","0.0"
"stock-graph-pearson-cda4824f-abc5-485d-b410-2c284c6505a9","0","1","10000","2000","1729682047500","1729682057248","200001","421987675","1145733248","0.757863271424575","0.9384048445429299","2","9.999950000249999E-6"
"stock-graph-pearson-35660edb-b50c-4e16-9889-9da982651227","0","1","100000","50000","1729682071030","1729682082385","200001","426539561","952767568","0.7848558231298817","0.9393853571146297","19","9.499952500237499E-5"
"stock-graph-pearson-d7205e8b-1a5d-4bf0-af51-2321acc66ab3","0","1","100000","20000","1729682096192","1729682112472","200001","457426558","955433200","0.8512229695999868","0.9368490131826909","24","1.1999940000299999E-4"
"stock-graph-pearson-fddb7c37-5bd8-4c4c-9493-3027b03ae000","0","1","1000000","500000","1729682126256","1729682164577","200001","543310991","1407016448","0.9281388765581916","0.9388687600200235","154","7.6999615001925E-4"
"stock-graph-pearson-1102062d-8224-47e1-9be2-628213cc87fe","0","1","1000000","200000","1729682178482","1729682276987","200001","755737090","1996585272","0.9667274388769911","0.9730528301805907","181","9.049954750226249E-4"
"stock-graph-pearson-36573cf6-4d9d-4aa3-9344-d754b9e1e15f","0","1","10000000","5000000","1729682290810","1729682617446","200001","490918539","1308136864","0.9748608328421452","0.9904186666915269","1204","0.006019969900150499"
"stock-graph-pearson-a7bf1e10-1562-494e-9b40-2be49758905d","0","1","10000000","2000000","1729682631248","1729683231250","153561","541962013","1188762112","0.9750066137085873","0.9944331423458606","978","0.006368804579287709"
"stock-graph-pearson-a6d46017-78a9-4073-a094-abc5f1d4b739","0","1","10000","5000","1729685426546","1729685435736","200001","407932822","952179144","0.751668680720491","0.9363031540411152","0","0.0"
"stock-graph-pearson-662f524f-f849-4cf9-9b4a-5f71111a3428","0","1","10000","2000","1729685449206","1729685458391","200001","427715699","952572352","0.7309960627724932","0.9371330007476619","5","2.4999875000624998E-5"
"stock-graph-pearson-2f4dd5ff-6b1f-489d-b762-6839d0bb0a19","0","1","100000","50000","1729685471825","1729685482929","200001","427560626","952735872","0.781354115617155","0.937160191912512","12","5.9999700001499995E-5"
"stock-graph-pearson-a6b6c6c8-a45d-48a7-8f23-3226a34062fe","0","1","100000","20000","1729685496370","1729685511710","200001","431677016","954345704","0.840473095916098","0.937893379343128","17","8.499957500212499E-5"
"stock-graph-pearson-4ec092c3-0d24-4f62-a986-f03fc6a6197c","0","1","1000000","500000","1729685525140","1729685564713","200001","598619137","1405539088","0.9294240001465572","0.9390679898908957","157","7.849960750196249E-4"
"stock-graph-pearson-149d0d2c-b7ab-4ebf-a324-fe9952674320","0","1","1000000","200000","1729685578236","1729685675759","200001","699551539","1688714560","0.9669037567864096","0.9733215243310221","144","7.199964000179999E-4"
"stock-graph-pearson-4ea3e3a1-60b1-45f3-b151-f8323fc45aa1","0","1","10000000","5000000","1729685689558","1729686018756","200001","540068952","1308519728","0.9746283553582327","0.9904881431930819","1254","0.0062699686501567495"
"stock-graph-pearson-170d95da-01c0-4d96-9c98-84128346807e","0","1","10000000","2000000","1729686032509","1729686632513","153734","491166877","1183075600","0.9750989279954784","0.9943421906182273","1047","0.006810464828860239"
