"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"stock-schema-pearson-44bd3ca1-9aff-4822-83f4-5bb0dd018f91","0","1","10000","5000","1729680972512","1729680981693","200001","417077821","950193960","0.741838624672518","0.9347948982209873","4759","0.02379488102559487"
"stock-schema-pearson-d9bca323-cbe2-4421-bf8b-1483634b77b0","0","1","10000","2000","1729680995137","1729681003623","200001","449421351","950926000","0.7069458804692754","0.9368757429334486","4759","0.02379488102559487"
"stock-schema-pearson-30c0320f-08f4-4128-9aec-11c777ced47d","0","1","100000","50000","1729681017103","1729681026108","200001","347877382","863203176","0.7472939690528038","0.938082253531086","4759","0.02379488102559487"
"stock-schema-pearson-cc64d73d-ce86-422c-ad47-ad39cd3de0b6","0","1","100000","20000","1729681039565","1729681047976","200001","437443092","947936000","0.7094907015735658","0.9370264122357539","4759","0.02379488102559487"
"stock-schema-pearson-e2a5c929-35ed-4b49-af81-f8f64ac2e6d0","0","1","1000000","500000","1729681061417","1729681069828","200001","447257799","950941488","0.7082350417625514","0.9348779191478745","4759","0.02379488102559487"
"stock-schema-pearson-87ba74e0-1603-4677-be6f-9e7e3976262a","0","1","1000000","200000","1729681083329","1729681092369","200001","273521260","950629248","0.7484752582540856","0.936664421268818","4759","0.02379488102559487"
"stock-schema-pearson-6c817f12-096d-470a-b010-9960c764f49d","0","1","10000000","5000000","1729681105853","1729681114913","200001","288716526","950836640","0.7483180590982846","0.9365104777778996","4759","0.02379488102559487"
"stock-schema-pearson-465e69de-1061-4bbb-8046-0e74087f93c2","0","1","10000000","2000000","1729681128506","1729681137468","200001","473534751","854772336","0.7384503523239186","0.9367803842590378","4759","0.02379488102559487"
"stock-schema-pearson-9bf95e80-f26e-493c-97d8-87322dabaa42","0","1","10000","5000","1729684374608","1729684382995","200001","412662429","939353424","0.7080781102579947","0.9354822067690588","4759","0.02379488102559487"
"stock-schema-pearson-0e70661b-1d8d-47d2-8978-7f673d4b8ff4","0","1","10000","2000","1729684396802","1729684405439","200001","332991671","949917888","0.7189548503676726","0.9384369939054991","4759","0.02379488102559487"
"stock-schema-pearson-f8b5cb14-e3cc-459b-8a77-86dec71f1637","0","1","100000","50000","1729684419208","1729684428244","200001","457206216","1143653920","0.7474006709830314","0.9366294061426281","4759","0.02379488102559487"
"stock-schema-pearson-5bf7b2db-0561-4793-86c7-651a14aebd0a","0","1","100000","20000","1729684441984","1729684450480","200001","399045905","951937120","0.7112544575696019","0.9364765077734145","4759","0.02379488102559487"
"stock-schema-pearson-5c678c17-947e-42db-9b09-c6859c41a30b","0","1","1000000","500000","1729684464255","1729684472847","200001","366718265","950033328","0.7168793853851301","0.937095542871346","4759","0.02379488102559487"
"stock-schema-pearson-f91b0779-3e61-48e8-a097-5ed549609c51","0","1","1000000","200000","1729684486621","1729684494893","200001","424777616","950894080","0.7070125643334486","0.9369350361642788","4759","0.02379488102559487"
"stock-schema-pearson-4661ed7b-d288-4566-89db-bda808275eba","0","1","10000000","5000000","1729684508721","1729684517839","200001","513636830","1143894240","0.7447803647114406","0.9370278049857363","4759","0.02379488102559487"
"stock-schema-pearson-d3716566-70a7-4650-a1ea-1720035175a5","0","1","10000000","2000000","1729684531565","1729684539960","200001","408158101","943765480","0.7066531312088227","0.936233245092902","4759","0.02379488102559487"
