"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"f636f182-145a-4d79-83e1-d36af78fe859","0","1","10","5","1732621813088","1732621819582","200001","259289338","643802136","0.47339661472327027","0.9248485636292734","0","0.0"
"cdfe8306-6042-4b52-894e-9997e90d4c1b","0","1","10","2","1732621875401","1732621881883","200001","259885174","643997608","0.4715292042419196","0.9235158277114686","0","0.0"
"0e9ca283-3fee-4b4f-ae59-9342dbc5959e","0","1","100","50","1732621937994","1732621944510","200001","259160611","643890208","0.47153709461241633","0.9194827738819988","0","0.0"
"83c47486-8136-40d7-ba9c-26a3dc798906","0","1","100","20","1732622000438","1732622006937","200001","259624837","644028808","0.47288873382151625","0.92573925429932","0","0.0"
"0f12b093-aa40-4fdf-ad44-999339534624","0","1","1000","500","1732622062928","1732622069407","200001","259476283","643973408","0.4709307586750957","0.9248807724229802","0","0.0"
"53c9cafe-831a-4d92-b046-6036d58c24da","0","1","1000","200","1732622125531","1732622132014","200001","259188691","643916760","0.4724355100949793","0.921744351025372","0","0.0"
"fe63999e-2fa0-4d7e-a896-8e9326a6ed4f","0","1","10000","5000","1732622187919","1732622194444","200001","261230390","643819504","0.4737014166230642","0.9242375501173","0","0.0"
"29014ffa-bfcb-4266-b8bc-109d025ea155","0","1","10000","2000","1732622250388","1732622256939","200001","258382209","643869104","0.4731293771484919","0.9246658948976618","0","0.0"
"8daf0cfe-ca46-4f3b-91a7-747424a716fb","0","1","10","5","1732628747268","1732628754005","200001","260390349","643788128","0.4802520402396453","0.9146832331214977","0","0.0"
"75b3b31c-bf92-4c3e-87e1-a4b2d39c21cc","0","1","10","2","1732628810759","1732628817475","200001","261444843","643848664","0.479755872996204","0.9207999387899539","0","0.0"
"c457249a-20f6-49b3-9533-97dfd8bd732f","0","1","100","50","1732628874189","1732628880880","200001","261365358","643823864","0.47957139063624044","0.9186056552902007","0","0.0"
"c5b05e32-e51f-4288-968b-d96547d5ef29","0","1","100","20","1732628937993","1732628944742","200001","260995303","643879472","0.477435792236796","0.9231518243804118","0","0.0"
"1f2ea316-a70c-409c-96ba-5fd757c81c31","0","1","1000","500","1732629001741","1732629008446","200001","259509955","643810048","0.4779262667321766","0.916258405606575","0","0.0"
"26a647ca-0dbd-4154-acd1-23c8189c03a7","0","1","1000","200","1732629065270","1732629071950","200001","260664529","643900416","0.4779744151426796","0.9187216663360823","0","0.0"
"80657f80-39d2-45e1-9009-c81e30898813","0","1","10000","5000","1732629128769","1732629135451","200001","256039250","643925720","0.4790690936083136","0.9177715928274855","0","0.0"
"d32e8e1e-16f0-4e0c-9529-3b4ac30ef2f4","0","1","10000","2000","1732629192271","1732629199071","200001","258635857","644027104","0.4790462721982566","0.9100358835737239","0","0.0"
