"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"27877457-c59b-4b93-81b2-787a96af389d","0","1","10000","5000","1732624234866","1732624238160","70001","444511305","933901680","0.7805258037076142","0.9249239034686063","68049","0.9721146840759418"
"3629d57c-db8a-4f26-9e87-e22ee08d4e45","0","1","10000","2000","1732624296922","1732624300390","70001","549040905","1336477760","0.7893761553796401","0.9280258198636508","68049","0.9721146840759418"
"820bf08d-17f0-4a34-a67c-0fa4f6b64949","0","1","100000","50000","1732624361457","1732624364699","70001","367039406","1045309624","0.7687983178365921","0.9297218771245651","68049","0.9721146840759418"
"a1078f67-408c-4fc9-90dd-a067ea99f044","0","1","100000","20000","1732624432370","1732624435861","70001","403002662","1016438944","0.776255667294441","0.9274148139676059","68049","0.9721146840759418"
"9f2ab78e-d701-4a0b-920e-eb714fc4ab65","0","1","1000000","500000","1732624528053","1732624531458","70001","338201489","998668608","0.7734259159913398","0.9270648076090686","68049","0.9721146840759418"
"604fbf3b-ef8c-474c-a0a4-b4839b4fe827","0","1","1000000","200000","1732624694301","1732624697486","70001","367880964","1042318704","0.7674484077959991","0.9267180902127431","68049","0.9721146840759418"
"dd374560-e610-462d-8a8a-4806d93f35ce","0","1","10000000","5000000","1732625051785","1732625055066","70001","375359550","1060190688","0.767612867983302","0.9273253338282982","68049","0.9721146840759418"
"b1707774-5d49-4c30-b269-713ceb0f43f7","0","1","10000000","2000000","1732625876442","1732625879619","70001","364102574","1051701272","0.7686558856332936","0.9250520199442503","68049","0.9721146840759418"
"b08c39a4-f03a-45c2-bc28-476f4c21b265","0","1","10000","5000","1732631149291","1732631152564","70001","310286119","802635552","0.7795064818822807","0.9261926514733683","68049","0.9721146840759418"
"8fb73af6-05d0-4314-ade1-b57d7669674f","0","1","10000","2000","1732631211237","1732631214696","70001","608671476","1546611096","0.7836984345004816","0.9291209281570727","68049","0.9721146840759418"
"0495ee7c-77e3-4b37-82b4-c4af2b21f402","0","1","100000","50000","1732631276110","1732631279466","70001","399207611","1092648256","0.7705322638125417","0.9253662887530542","68049","0.9721146840759418"
"8bdf5b45-ac9f-4d13-9174-8377d95e864a","0","1","100000","20000","1732631347576","1732631351118","70001","440042683","1145796920","0.7809761434010092","0.9304360876124579","68049","0.9721146840759418"
"d79b34f2-852a-41ef-9dbc-19d814af7e3a","0","1","1000000","500000","1732631443265","1732631446475","70001","352756421","1007616832","0.7674486734364969","0.9246719494058483","68049","0.9721146840759418"
"dbde9455-9aef-448c-ba0c-eebb0585ad90","0","1","1000000","200000","1732631607890","1732631611134","70001","362562942","1049243712","0.7719384277369532","0.9245697838201972","68049","0.9721146840759418"
"3f031370-05be-428e-8223-1f7c55df2200","0","1","10000000","5000000","1732631961895","1732631965140","70001","345468481","901523768","0.7670451769678674","0.9270562275358197","68049","0.9721146840759418"
"603d05e4-2baa-4c20-bc47-91e6f4adb999","0","1","10000000","2000000","1732632777513","1732632780719","70001","359363548","1035105216","0.7708341520579592","0.9279318785887372","68049","0.9721146840759418"
