"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"da45f1d5-273e-417d-8232-212134334a00","0","1","10000","5000","1732619579003","1732619585388","70001","261544199","1492418200","0.7873847752219814","0.9227052072809947","21","2.999957143469379E-4"
"1b5b33a4-572e-4a6b-9a04-5ca3726c632f","0","1","10000","2000","1732619643931","1732619649855","70001","579782711","1723837616","0.7827449877965961","0.9262572833588165","21","2.999957143469379E-4"
"7ecd623c-62b0-4203-9cfc-a409c7ad12dd","0","1","100000","50000","1732619706828","1732619712630","70001","590704269","1684451160","0.7807856627478411","0.9269236295867315","21","2.999957143469379E-4"
"6382bae6-1eeb-450b-8ace-bb610a82122b","0","1","100000","20000","1732619769734","1732619775837","70001","153917132","1101293136","0.7893083786033375","0.9318552686428659","21","2.999957143469379E-4"
"4caf7ff9-e9ea-4e35-8441-3b486f9cfad8","0","1","1000000","500000","1732619832701","1732619838454","70001","275431192","1486165032","0.7798857992813998","0.9217896189639732","21","2.999957143469379E-4"
"44da8e97-9bfc-4cc5-95ab-b4f508dd5219","0","1","1000000","200000","1732619895732","1732619901424","70001","376654740","1016664152","0.7778374205885632","0.924940248071271","21","2.999957143469379E-4"
"2c3e8fb5-a328-40da-bf42-189cbe1028ba","0","1","10000000","5000000","1732619958522","1732619964315","70001","425035376","1163397656","0.7819415262462689","0.9253270278729361","21","2.999957143469379E-4"
"8e9e040b-500c-429e-bf3b-2ecc7db06f0b","0","1","10000000","2000000","1732620022161","1732620027884","70001","252428393","1700181728","0.7808892886204599","0.9267535926316374","21","2.999957143469379E-4"
"7e38172b-1f83-4788-aadd-1a9cc58e4407","0","1","10000","5000","1732626530689","1732626536472","70001","296611886","1400055616","0.7827162912234816","0.9267725225664744","21","2.999957143469379E-4"
"ed07e1d7-008a-4c00-9e43-dce461041c1f","0","1","10000","2000","1732626594216","1732626600184","70001","377156386","1088984360","0.7870155004398777","0.9217570595767623","21","2.999957143469379E-4"
"ba8df747-f2d0-46d2-ba46-fdd9dd29ae1e","0","1","100000","50000","1732626657636","1732626663468","70001","601656621","1717861320","0.7797568370032399","0.9269532333402304","21","2.999957143469379E-4"
"c90eb7f5-9435-4371-8f9c-dcefa4e6c299","0","1","100000","20000","1732626721616","1732626727469","70001","489740783","1583949296","0.7927045973009305","0.9313212360045251","21","2.999957143469379E-4"
"438b1d0e-a0a3-4ecf-a5ff-1d73f351e1aa","0","1","1000000","500000","1732626785622","1732626791411","70001","146194513","1037697728","0.7807897479798401","0.9254055420756835","21","2.999957143469379E-4"
"1d7c6098-e96e-46fa-b320-5d4758c45944","0","1","1000000","200000","1732626849089","1732626854775","70001","496588442","1385632992","0.7784220037347283","0.9202397614297201","21","2.999957143469379E-4"
"f67f370f-0e5b-41f6-83a5-1ec66e5fd267","0","1","10000000","5000000","1732626912958","1732626918775","70001","183415661","1150632008","0.7880980161262992","0.9228544766956436","21","2.999957143469379E-4"
"f6f7b7c8-cea7-40e7-ad64-9d1b7be57fd4","0","1","10000000","2000000","1732626976635","1732626982401","70001","485437118","1347444072","0.7824647674160642","0.9267270486983371","21","2.999957143469379E-4"
