"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"6d22f1e8-b008-4b88-8990-a3009051d41c","0","1","10000","5000","1732624207007","1732624213994","200001","320859418","645038816","0.5036045676376584","0.922202894068834","0","0.0"
"06a53557-ede4-46be-a08f-ee4226c5a516","0","1","10000","2000","1732624268147","1732624275544","200001","321999914","646339200","0.5236475483601791","0.924979408979994","0","0.0"
"763f56eb-0f99-4415-b8fc-bb110d3b6c24","0","1","100000","50000","1732624330835","1732624339296","200001","324872252","646857152","0.5756143197663737","0.9234185939653852","0","0.0"
"c37752f3-9495-479d-8145-43d95697a9ab","0","1","100000","20000","1732624397057","1732624407990","200001","330299899","650602800","0.6605966038707347","0.9234467493961165","0","0.0"
"c468d158-963f-47db-b4ab-4202f79a13af","0","1","1000000","500000","1732624472467","1732624500149","200001","329859913","651256832","0.8370741386959452","0.922592556553091","42232","0.21115894420527898"
"cc7da0c5-642f-40fa-bd13-3f826785b03d","0","1","1000000","200000","1732624591107","1732624655135","200001","534361661","1109465776","0.9148199041687471","0.9301715153094521","57018","0.2850885745571272"
"f3c5919c-e65a-410d-a184-1267958b896c","0","1","10000000","5000000","1732624816929","1732625009990","200001","403685658","839562584","0.9135641767735636","0.9726071281068922","135835","0.6791716041419793"
"cf469d20-571c-44d8-a31c-6a424f662354","0","1","10000000","2000000","1732625410375","1732625800077","200001","453520325","963808352","0.9261499557966045","0.9827398750142627","138083","0.6904115479422603"
"9063b7cb-3a5c-48e3-992b-0d11d48e9005","0","1","10000","5000","1732631121458","1732631128402","200001","320424401","644808872","0.49989826233239454","0.9241902280675597","0","0.0"
"de79b19d-f6a2-4e0e-a272-182977b753b4","0","1","10000","2000","1732631182629","1732631189960","200001","321804742","645845088","0.5235737717360982","0.9261870908225993","0","0.0"
"873e206f-ce82-4f0f-b890-fd2f3eecca03","0","1","100000","50000","1732631245429","1732631253931","200001","324912856","646959712","0.5792803155723749","0.9193917556144764","0","0.0"
"d60ee593-9961-419e-99d1-1d7114870206","0","1","100000","20000","1732631312144","1732631323064","200001","329162959","650837680","0.6596616265813152","0.9256272778983293","0","0.0"
"b5897c30-66a7-41bb-8114-cb5959515a97","0","1","1000000","500000","1732631388146","1732631415291","200001","329680541","651267072","0.8348767288682604","0.9247999253365687","42232","0.21115894420527898"
"de7e571d-9286-40b7-be28-b484809f47e2","0","1","1000000","200000","1732631506087","1732631568860","200001","542259803","1108841656","0.9114741393474837","0.9283488996455804","57018","0.2850885745571272"
"c1e52ecb-1e78-4330-937f-5d5d48324cb3","0","1","10000000","5000000","1732631730044","1732631920295","200001","402883770","839115144","0.9133514330233878","0.9721016812618816","135835","0.6791716041419793"
"d557ba52-fae0-4c1c-abaf-2914e2250caa","0","1","10000000","2000000","1732632312460","1732632701221","200001","454365090","963994624","0.9261342547060222","0.9832546226872291","138083","0.6904115479422603"
