"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"cebdc191-e7e2-4e05-9897-d3e2b3b482fb","0","1","10000","5000","1732620058042","1732620064954","200001","324533929","644873328","0.49510077153414134","0.9248651847105122","0","0.0"
"6d431f74-6409-434e-895b-a605b4a4f4c0","0","1","10000","2000","1732620122013","1732620129193","200001","321563958","646089968","0.5150902673357353","0.924382389582305","0","0.0"
"950cc5e9-b218-401f-82bc-233e427d23b0","0","1","100000","50000","1732620187288","1732620194601","200001","323518154","647148592","0.5214861633542369","0.922588806171329","0","0.0"
"d67704bf-0d2a-4e7a-a973-d1e488780eb5","0","1","100000","20000","1732620254390","1732620262526","200001","322712300","649898896","0.5652282690786776","0.9273744355457102","0","0.0"
"501c30d2-7a92-400d-9b92-cbbd4102b743","0","1","1000000","500000","1732620326687","1732620340605","200001","335956357","650804224","0.7170525518244089","0.9267460178540171","42232","0.21115894420527898"
"afd45a55-b6c1-4eb8-af67-4f7a01ec9b6f","0","1","1000000","200000","1732620416287","1732620449669","200001","478522477","922543968","0.8571970765142045","0.9332448257959867","57018","0.2850885745571272"
"729c7059-f9d1-4cdc-9152-ec6f038efb31","0","1","10000000","5000000","1732620558602","1732620688222","200001","434908880","920923800","0.8712207670396499","0.962361134278826","135835","0.6791716041419793"
"8e098ee9-9a87-4197-9b02-f8a3747bb2e7","0","1","10000000","2000000","1732620927820","1732621208365","200001","501100540","1083270144","0.8895662654875757","0.9790478855615002","138083","0.6904115479422603"
"d6fa2d7a-3305-4cbe-90e4-12f60e7c804e","0","1","10000","5000","1732627012729","1732627019804","200001","326399335","644818192","0.499252879116917","0.9305066014644966","0","0.0"
"7cf7df5b-c4a4-4469-8f09-c8d29527945d","0","1","10000","2000","1732627076151","1732627083388","200001","322185287","646186240","0.5144340022675017","0.9211806399611059","0","0.0"
"d7121b6a-62bb-4800-a673-8330626a4a1c","0","1","100000","50000","1732627141535","1732627148915","200001","324381545","646819664","0.5235614703490103","0.9248979425938204","0","0.0"
"e85d4a36-2a2a-4a5a-b15c-9dc770e024d9","0","1","100000","20000","1732627208966","1732627217020","200001","322361185","650470736","0.5622846910710199","0.9236471229463521","0","0.0"
"149994fe-65cc-4adf-90ef-1162c2e4ccb1","0","1","1000000","500000","1732627280568","1732627294190","200001","335930660","650567528","0.7087718272908672","0.92377565967892","42232","0.21115894420527898"
"97ce7eb6-f2b4-4c3b-8f47-a5f5f7032894","0","1","1000000","200000","1732627368059","1732627400945","200001","478654422","920976384","0.8543521917470422","0.9325891498674879","57018","0.2850885745571272"
"f3d53a35-e30d-4cf3-8970-4387d40f0533","0","1","10000000","5000000","1732627507630","1732627635401","200001","435986647","920609616","0.8698458714626957","0.9630227084117107","135835","0.6791716041419793"
"36391cec-06a7-4ad2-b87f-7b9ffc03463d","0","1","10000000","2000000","1732627869969","1732628145955","200001","501082015","1087500400","0.8890612128780191","0.9792468944892002","138083","0.6904115479422603"
