"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"dd8dda05-582e-4273-8563-5ae456bbd062","0","1","10000","5000","1732620099314","1732620105770","200001","493189720","1049842792","0.6871173214576555","0.9253299392396624","1","4.9999750001249995E-6"
"a2a52a31-0b2d-4fab-a523-bee18acf3faf","0","1","10000","2000","1732620164108","1732620171064","200001","377297098","950129344","0.7073011792687844","0.9265143491198871","1","4.9999750001249995E-6"
"92df6e7e-385b-4700-afc3-9578b1fc0d5d","0","1","100000","50000","1732620230387","1732620238234","200001","418921644","950032448","0.7375695645969479","0.9271888478811864","19","9.499952500237499E-5"
"7f73cc86-fcf0-4278-929b-2735cc1470cb","0","1","100000","20000","1732620300417","1732620310566","200001","416561739","952695808","0.7916777643334681","0.9296226494300744","19","9.499952500237499E-5"
"39f2af05-65e4-46cc-814e-83aa17659da3","0","1","1000000","500000","1732620377397","1732620399814","200001","514377137","1382148672","0.8888492074703832","0.9287857454532368","168","8.399958000209999E-4"
"bc8c5502-dca7-4443-9007-587cd14743b1","0","1","1000000","200000","1732620487754","1732620542434","200001","624419090","1570501504","0.9433436684659846","0.9530702604269937","183","9.149954250228749E-4"
"84c22cf0-debc-4f79-9d0a-326326cef6fc","0","1","10000000","5000000","1732620726246","1732620911690","200001","589418526","1562279728","0.9580222232089567","0.9806097796773373","1252","0.006259968700156499"
"c49b5a90-52a1-453d-b84f-af9e814c186a","0","1","10000000","2000000","1732621250642","1732621783270","200001","655641597","1741108560","0.9665650324970476","0.9883820010471858","1409","0.007044964775176124"
"f54aa68c-e169-461c-8b3c-3fb900fa8fb6","0","1","10000","5000","1732627053846","1732627060222","200001","376578773","948978080","0.6875994305292524","0.9228089940003525","2","9.999950000249999E-6"
"be997e02-987d-48c1-b626-8855deee6c13","0","1","10000","2000","1732627118239","1732627125400","200001","429887357","950401808","0.7070769267036846","0.9275405259347204","3","1.4999925000374999E-5"
"b548b70c-50ed-46f7-a6ca-6f087c6aed06","0","1","100000","50000","1732627185275","1732627193062","200001","437144414","949971112","0.7370933897394806","0.920343809240314","9","4.4999775001124996E-5"
"bbc14389-825d-47cb-b2f3-79c8326aa8ba","0","1","100000","20000","1732627254608","1732627264768","200001","418861933","952378480","0.7913270845111102","0.9284291695930039","20","9.999950000249999E-5"
"538009a2-fdba-4ab0-b9ea-173c16c78bcb","0","1","1000000","500000","1732627330470","1732627352254","200001","470574915","1154770416","0.8884828739916081","0.9263427109974425","151","7.549962250188749E-4"
"164d5efc-8e85-4c35-bc72-1fe8f89fe4ff","0","1","1000000","200000","1732627438608","1732627491803","200001","618919163","1544366592","0.9424016449871646","0.9513484585388271","196","9.799951000245E-4"
"ba7a2acd-ade2-4707-a43f-9bda513f48ae","0","1","10000000","5000000","1732627673588","1732627853735","200001","586190192","1560864632","0.9591615856504542","0.9815924643182702","1282","0.006409967950160249"
"f0dc2697-5f51-454b-8405-f6a360801759","0","1","10000000","2000000","1732628188415","1732628717604","200001","636656913","1674735536","0.9669153499293445","0.9890933863171755","1414","0.007069964650176749"
