"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"f9c3df7f-a076-4915-ac0e-b240a89a22ca","0","1","10000","5000","1732622340055","1732622346355","200001","524421344","949066280","0.6816263300767215","0.9234317363038699","2","9.999950000249999E-6"
"98dcdd2c-92fe-4a9e-9faa-6cd64044ad0a","0","1","10000","2000","1732622403565","1732622409992","200001","236589835","915879032","0.6878185255094779","0.9250516692631494","2","9.999950000249999E-6"
"7d2714eb-dd67-4150-bcb4-f27cc20f7ca2","0","1","100000","50000","1732622467200","1732622473674","200001","514331197","950361936","0.6917346299097745","0.926859906271353","2","9.999950000249999E-6"
"d5c1db43-e402-4196-a6fe-08c1673fa276","0","1","100000","20000","1732622532172","1732622539177","200001","508755325","1087260192","0.7093594825264838","0.9261561015314256","2","9.999950000249999E-6"
"92f12d65-5a25-45f8-b3b4-b595b9ebc057","0","1","1000000","500000","1732622603045","1732622613057","200001","597543088","1379854824","0.7838178826305264","0.9256466144213255","2","9.999950000249999E-6"
"5a3ea76a-46a9-4872-9e5a-1b15acfda38e","0","1","1000000","200000","1732622696820","1732622720481","200001","650262303","2002119520","0.8864550756726788","0.9227627565527581","2","9.999950000249999E-6"
"b2eb1c8c-a103-46f1-a293-cdfc9187719b","0","1","10000000","5000000","1732622881637","1732623010632","200001","651550388","1751378216","0.9411210570549399","0.9752372913848564","2","9.999950000249999E-6"
"a96ecc40-446c-4275-96ce-f29714e91229","0","1","10000000","2000000","1732623299424","1732623725548","200001","451914327","1167527536","0.9579558874257788","0.987279669601939","2","9.999950000249999E-6"
"cf4b4d1b-7ec5-4517-97cb-9e37a2740465","0","1","10000","5000","1732629283692","1732629290142","200001","547064137","915682592","0.6868138674548382","0.9210097518590135","2","9.999950000249999E-6"
"14031f43-25d1-4f94-83fa-2f5a2c2ebe99","0","1","10000","2000","1732629348454","1732629355153","200001","561680898","1143514016","0.692657259585203","0.9182752976506805","2","9.999950000249999E-6"
"81d92b77-d6b1-44e2-b10e-e1fbf144deff","0","1","100000","50000","1732629413095","1732629419679","200001","215550715","950476992","0.69682438392895","0.9268021634412237","2","9.999950000249999E-6"
"60658626-dfd4-4ff2-b9da-f56cb996848d","0","1","100000","20000","1732629477509","1732629484481","200001","491760389","1146153592","0.7122002161529445","0.9321607468359406","2","9.999950000249999E-6"
"c68a158e-da57-4d64-b353-b5ba69359ab4","0","1","1000000","500000","1732629548135","1732629558120","200001","393802892","1090723320","0.782660491021813","0.9284794049239542","2","9.999950000249999E-6"
"b500794d-d92e-4142-ae39-4218b7e77c2c","0","1","1000000","200000","1732629640688","1732629663491","200001","530515310","1867424656","0.8857113091241972","0.9277382039195715","2","9.999950000249999E-6"
"a90402a7-1d5d-483e-b059-68518ec644e9","0","1","10000000","5000000","1732629823270","1732629946111","200001","721133017","2032145328","0.9395122021643763","0.972358920539638","2","9.999950000249999E-6"
"85bdf893-4a14-40cc-ac95-7722309d873f","0","1","10000000","2000000","1732630232987","1732630639330","200001","467657833","3317413736","0.9558757596875951","0.9869801338580151","2","9.999950000249999E-6"
