"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"135b70bc-2c3f-4d87-8645-96800572b6ce","0","1","10000","5000","1732621839437","1732621845560","200001","492827107","931551280","0.675172784271089","0.9262035754395012","4759","0.02379488102559487"
"746f2486-5609-4a89-9310-df5d1b63209f","0","1","10000","2000","1732621901860","1732621908070","200001","478542760","910633120","0.6760571956502247","0.9272932805798451","4759","0.02379488102559487"
"a168fc6c-d41e-4e3a-b27e-7903e1bb5aba","0","1","100000","50000","1732621964506","1732621970619","200001","525830716","868747136","0.676144033870599","0.9246690159250881","4759","0.02379488102559487"
"b99b4efb-5f57-4fff-9c15-5432227964b3","0","1","100000","20000","1732622026937","1732622033157","200001","485949786","918992720","0.6789933677574632","0.9271110830876905","4759","0.02379488102559487"
"e7baeec9-57c0-44cb-9c99-758066a75858","0","1","1000000","500000","1732622089391","1732622095643","200001","483577502","918984824","0.6781132009723999","0.9259636573507293","4759","0.02379488102559487"
"02c38551-48c3-42d7-a374-dfd4c83ec08d","0","1","1000000","200000","1732622151908","1732622158123","200001","554673981","948190080","0.677937357748994","0.929182650411909","4759","0.02379488102559487"
"19c2c85c-b77e-45e6-8a13-24de0a769143","0","1","10000000","5000000","1732622214363","1732622220623","200001","484886343","918982328","0.6775512353188354","0.9277556737619126","4759","0.02379488102559487"
"a624ed1d-526c-4734-8509-82ce3bc0726e","0","1","10000000","2000000","1732622276878","1732622283127","200001","514061686","826662232","0.6789657767250867","0.9261687699285939","4759","0.02379488102559487"
"9f768fba-7e5e-43df-a5c5-90ed40e0712d","0","1","10000","5000","1732628774063","1732628780378","200001","532841235","864430912","0.6843804648104096","0.9232119152707544","4759","0.02379488102559487"
"3512eff8-934e-455d-b314-cbe612c46497","0","1","10000","2000","1732628837635","1732628843956","200001","421144072","1141204080","0.6796139094943991","0.919125949128077","4759","0.02379488102559487"
"2a398f03-fa96-4ee7-bffb-ae349f6018d6","0","1","100000","50000","1732628901078","1732628907429","200001","489548407","927395168","0.6828092083825645","0.9231173732155837","4759","0.02379488102559487"
"f7c8e274-92e6-46ba-b735-47cd657d2adf","0","1","100000","20000","1732628965086","1732628971473","200001","523082006","868636048","0.6852387813666077","0.9190187871968438","4759","0.02379488102559487"
"b415b435-a558-44fa-bfa6-6e18f5c3fb3e","0","1","1000000","500000","1732629028601","1732629034916","200001","523975396","847820880","0.68226442441747","0.9183181426225151","4759","0.02379488102559487"
"a8c10d79-653f-427a-b562-891d4eb4c6b9","0","1","1000000","200000","1732629092122","1732629098502","200001","539205452","948351712","0.6847537242411165","0.9206261630499977","4759","0.02379488102559487"
"b7dcbb00-e71c-4cf3-aad3-05ec07fb3981","0","1","10000000","5000000","1732629155665","1732629162167","200001","480377413","914772336","0.6843817028027761","0.9200868654391424","4759","0.02379488102559487"
"c82b0b03-b2fb-4879-bff6-382359754c90","0","1","10000000","2000000","1732629219293","1732629225716","200001","449888764","1141123800","0.6789010333783332","0.921388173284771","4759","0.02379488102559487"
