"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"370431ba-ec0f-4ce1-9cc5-6a8c14dc7f13","0","1","10000","5000","1732623741677","1732623748324","200001","319816105","643909336","0.4786901782530877","0.9230454987796565","0"
"f4377ff2-67ef-46f9-924a-c3d9c58c135b","0","1","10000","2000","1732623800243","1732623807183","200001","320426168","643934208","0.48271144616388467","0.9278876998485899","0"
"ae21730a-a52e-4ef5-a271-280e0a4cbe40","0","1","100000","50000","1732623858436","1732623865065","200001","320338877","643925440","0.47691114162628645","0.9255293182050818","0"
"4a6ad925-39c1-433b-8420-b4942ffd4738","0","1","100000","20000","1732623916396","1732623923089","200001","320061781","643927328","0.48036908872992834","0.9238485972798585","0"
"df632ca8-a9f9-46e7-a218-b748971bfced","0","1","1000000","500000","1732623974670","1732623981289","200001","320103937","644811440","0.47650872000461497","0.9237972670391529","0"
"809f6022-c716-4497-82d3-085a47aa7315","0","1","1000000","200000","1732624032558","1732624039236","200001","320020803","643927920","0.47930457254233455","0.9252946138972873","0"
"d997d4a4-9e91-43dc-a4f0-62a6c818b796","0","1","10000000","5000000","1732624090866","1732624097477","200001","320385334","643987552","0.47536586098531336","0.9232701583587188","0"
"68d2bb6d-3e01-42f4-9ddb-7d2c3a71c8f4","0","1","10000000","2000000","1732624148927","1732624155555","200001","320771877","643925848","0.4782989420916446","0.9247463751940102","0"
"d5aa43d7-9d07-4458-9d7e-6fe33db2740e","0","1","10000","5000","1732630655855","1732630662499","200001","319930847","643959440","0.48040076538099624","0.9234357142667738","0"
"9dc2f806-d2d6-4e0a-9e1c-faa7fed3b2e7","0","1","10000","2000","1732630714064","1732630720750","200001","320113292","645875888","0.4816286873506118","0.924078536179884","0"
"196c3c81-e951-4e10-baf0-8951dbc734a2","0","1","100000","50000","1732630772172","1732630778816","200001","319710978","643971704","0.4789016488188408","0.9248616169451859","0"
"e9366aca-9d69-489c-907b-32b24098bd53","0","1","100000","20000","1732630830425","1732630837132","200001","320362750","644853480","0.4812640830453874","0.9245263243397626","0"
"6fd42705-9911-4346-941c-c432f4533cdc","0","1","1000000","500000","1732630888678","1732630895306","200001","320333933","643935856","0.4765624636724465","0.923725384053439","0"
"8bd8ecff-442a-4531-89f7-bc4ba1b1e48e","0","1","1000000","200000","1732630946799","1732630953466","200001","320506610","646021968","0.48039828271534263","0.9284410928820566","0"
"b01efd6c-ec31-4463-a665-706eb0b44ce3","0","1","10000000","5000000","1732631004927","1732631011554","200001","321623981","644720008","0.47791362595310044","0.9268166558153617","0"
"aa3177e4-8512-4f97-a44a-0ee759d991c3","0","1","10000000","2000000","1732631063173","1732631069855","200001","320801608","643948096","0.4781465081487143","0.9246549647038932","0"
