"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"8d9f2b7c-dbc4-4d78-a872-3431f8d57ae1","20","1","1000000","200000","1685463540195","1685463601663","1900001","1861273279","1895825408","0.686804867916142","0.9333460503811862","0","0.0"
"42b993d7-a2f4-4250-9bd4-d8a9064552f0","40","1","1000000","200000","1685463861561","1685463923839","1900001","1861619843","1895825408","0.690839314143679","0.9316224104791059","4","2.105262049862079E-6"
"7604c004-8dc2-4cd3-b34c-193ab1d67221","60","1","1000000","200000","1685464186210","1685464248311","1900001","1998730218","2038431744","0.6861532567677169","0.9323327807893912","6","3.1578930747931184E-6"
"c7d628dd-7305-4e3a-99d3-1d34f3e40786","80","1","1000000","200000","1685464510986","1685464572681","1900001","2436763724","2508193792","0.6855454654940526","0.9310181166983443","14","7.3684171745172765E-6"
"8a85569f-9ff7-482e-883a-74bc0616e701","100","1","1000000","200000","1685464834030","1685464897371","1900001","2380570318","2449473536","0.6913549499245704","0.932516701285578","21","1.1052625761775915E-5"
"959a6e9d-db88-49a6-83ad-0e206b57dadd","20","1","1000000","200000","1685473873744","1685473934952","1900001","1652317552","1895825408","0.6869645308744229","0.9315409647355721","0","0.0"
"2e992666-544b-4f1c-8b42-e32523ed80fe","40","1","1000000","200000","1685474192537","1685474255071","1900001","1937270787","1979711488","0.6902056511250662","0.9323564576430433","3","1.5789465373965592E-6"
"d0a658d2-6ffc-46f4-939e-abd658648f20","60","1","1000000","200000","1685474514176","1685474576257","1900001","1990638341","2030043136","0.687616394552833","0.9316373630708941","10","5.263155124655198E-6"
"8fee3e2a-fddf-4ecd-86c5-6cac86839bc5","80","1","1000000","200000","1685474837195","1685474899976","1900001","2437348242","2516582400","0.6878668455209753","0.9292862572523167","14","7.3684171745172765E-6"
"52f8e626-99c0-4e96-a12c-89afeb7a39fd","100","1","1000000","200000","1685475164538","1685475226881","1900001","2380570318","2449473536","0.688347029174819","0.930400999570497","21","1.1052625761775915E-5"
"2cf4c6ee-65ce-461b-8456-7e8ab974c1ce","20","1","1000000","200000","1685477993772","1685478055361","1900001","1558946787","1577058304","0.6886288064820714","0.9343119195476478","0","0.0"
"45fd2829-4416-48eb-907b-d257eed5205c","40","1","1000000","200000","1685478314053","1685478376763","1900001","1861619843","1895825408","0.6918042420605367","0.9315553208344336","1","5.263155124655198E-7"
"b5428d7e-6479-4c02-9dde-44a6a9c58d21","60","1","1000000","200000","1685478637326","1685478700245","1900001","1950329467","1988100096","0.6921934435260871","0.9295040157545202","6","3.1578930747931184E-6"
"4c2a26a7-1af4-4b56-bee5-d70f4fef98d7","80","1","1000000","200000","1685478962129","1685479025066","1900001","2316285036","2382364672","0.6916800413170907","0.9316887383270328","14","7.3684171745172765E-6"
"274b56eb-0577-4ed9-9df4-d355315726a1","100","1","1000000","200000","1685479290727","1685479351968","1900001","2484865253","2558525440","0.6817193135219084","0.9321781372183847","21","1.1052625761775915E-5"
