"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"stock-graph-pearson-0035bc63-a102-4365-8059-44328b469c7b","20","1","1000000","200000","1685463608821","1685463717694","1900001","1855968777","1895825408","0.7968308930183632","0.9373099692563075","1","5.263155124655198E-7"
"stock-graph-pearson-01b1fa8d-0c06-41d4-86e2-fd9646782046","40","1","1000000","200000","1685463931085","1685464041648","1900001","2028379711","2281701376","0.7988714979381931","0.9334279760853232","5","2.631577562327599E-6"
"stock-graph-pearson-f36f700e-7744-47c9-bb7f-b162774a1bfe","60","1","1000000","200000","1685464255547","1685464365312","1900001","2166217324","2298478592","0.801485290937822","0.9328068449161494","5","2.631577562327599E-6"
"stock-graph-pearson-a7322687-d22d-422a-81fd-a7dfa2eb70cb","80","1","1000000","200000","1685464579966","1685464688091","1900001","2664424836","2860515328","0.7921184614802553","0.9317494298878392","11","5.789470637120717E-6"
"stock-graph-pearson-85898162-3524-4ded-96ef-48f6653c7c7c","100","1","1000000","200000","1685464904631","1685465014718","1900001","2299448614","2357198848","0.7996322466377224","0.9328005572698872","21","1.1052625761775915E-5"
"stock-graph-pearson-d151069a-caac-4e70-bb52-47537e473633","20","1","1000000","200000","1685473942087","1685474049008","1900001","1780078404","1895825408","0.7964135006698746","0.9334012701682873","0","0.0"
"stock-graph-pearson-309bdbdd-2b47-4fd2-96a4-0ba3115e401c","40","1","1000000","200000","1685474262376","1685474369313","1900001","1901913600","1937768448","0.7963365662819267","0.9340036362933849","4","2.105262049862079E-6"
"stock-graph-pearson-48894c8d-bbc6-47b6-9568-aedb7835cbda","60","1","1000000","200000","1685474583543","1685474691111","1900001","2171089363","2281701376","0.7965019094445317","0.93006148998882","5","2.631577562327599E-6"
"stock-graph-pearson-12ed1509-2243-438d-992c-be78d9430626","80","1","1000000","200000","1685474907221","1685475018343","1900001","2276275384","2340421632","0.8004396821917996","0.9300149187277511","14","7.3684171745172765E-6"
"stock-graph-pearson-5e7808b9-b196-4009-b0df-76a34bf11a45","100","1","1000000","200000","1685475234198","1685475344859","1900001","2666844921","2885681152","0.7978401937344682","0.9304722871918116","21","1.1052625761775915E-5"
"stock-graph-pearson-e99fc753-cf32-4d27-8de9-ffd66cac7f51","20","1","1000000","200000","1685478062594","1685478170487","1900001","1861619843","1895825408","0.7937486964895729","0.9392308421328713","2","1.0526310249310395E-6"
"stock-graph-pearson-4bd798ce-3fc7-4362-b968-709ce001ab62","40","1","1000000","200000","1685478383999","1685478492198","1900001","2251576112","2399141888","0.7966938720865863","0.929881002106236","4","2.105262049862079E-6"
"stock-graph-pearson-506f9ef8-8b2c-4530-93d9-8148e76952e8","60","1","1000000","200000","1685478707547","1685478816538","1900001","2198665719","2357198848","0.7970662889334098","0.9344633152751673","7","3.6842085872586383E-6"
"stock-graph-pearson-7c6b96b7-6acb-4081-b3a7-2ee7459c27e6","80","1","1000000","200000","1685479032358","1685479144098","1900001","2241219008","2281701376","0.8042116031212094","0.9301622845801022","16","8.421048199448316E-6"
"stock-graph-pearson-249f0daa-308c-4f75-9b89-8a0f8f78c6d3","100","1","1000000","200000","1685479359263","1685479469244","1900001","2618571554","2785017856","0.799046156316685","0.9298665710553948","21","1.1052625761775915E-5"
