"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"stock-graph-pearson-2086dfe8-0a10-4ed4-b192-5320b338862c","20","1","1000000","200000","1685465232337","1685465343622","1900001","1870018178","1895825408","0.8060185124937095","0.9343954572239781","1","5.263155124655198E-7"
"stock-graph-pearson-c583e80c-ebde-42bf-9e77-ab22f1b952c2","40","1","1000000","200000","1685465583726","1685465700812","1900001","2197083235","2340421632","0.8129594639612483","0.9310120946070528","3","1.5789465373965592E-6"
"stock-graph-pearson-e0bb785a-83d4-487c-8e71-6b47ec4e2543","60","1","1000000","200000","1685465989936","1685466122422","1900001","2460476412","2743074816","0.8324787327000005","0.9331056868179419","7","3.6842085872586383E-6"
"stock-graph-pearson-1262545d-0c00-4146-9cec-51202d8a973c","80","1","1000000","200000","1685466521292","1685466688774","1900001","2700581867","2768240640","0.8666660279485288","0.9318156199328865","16","8.421048199448316E-6"
"stock-graph-pearson-9f65c660-deb7-40b6-bf85-699d67f8ad9d","100","1","1000000","200000","1685467278218","1685467531949","1900001","2587294460","2659188736","0.910924842221509","0.9328740720790479","21","1.1052625761775915E-5"
"stock-graph-pearson-fdb1d2a9-d371-4089-9340-9c2fad685756","20","1","1000000","200000","1685475561994","1685475671026","1900001","1861619843","1895825408","0.7971164698182306","0.9348341182095514","0","0.0"
"stock-graph-pearson-1b3aa07e-ebd0-4e85-863b-95b14fcdb5f8","40","1","1000000","200000","1685475909910","1685476027472","1900001","2257616644","2298478592","0.814225969298707","0.9309349078377572","2","1.0526310249310395E-6"
"stock-graph-pearson-8554ca05-be95-4971-8f59-3481df4dc286","60","1","1000000","200000","1685476313859","1685476448039","1900001","2419345181","2466250752","0.8344986001068478","0.9281765150216772","9","4.736839612189678E-6"
"stock-graph-pearson-8beebbef-e73d-4995-96e5-b3847addaab4","80","1","1000000","200000","1685476847422","1685477014084","1900001","4160376010","4311744512","0.8627834877362976","0.9251874639492406","11","5.789470637120717E-6"
"stock-graph-pearson-d72f2f49-966b-4c1f-a057-dc8dbfc76c6b","100","1","1000000","200000","1685477599274","1685477851051","1900001","3052308673","3137339392","0.9074334072862363","0.932994954093311","21","1.1052625761775915E-5"
"stock-graph-pearson-b736973f-7677-4dc2-a597-499fac506498","20","1","1000000","200000","1685479686030","1685479798238","1900001","1869074416","1895825408","0.8068963138440628","0.9331003791700743","3","1.5789465373965592E-6"
"stock-graph-pearson-c5889408-e30b-428d-b06c-1a15ed86f2bf","40","1","1000000","200000","1685480036638","1685480152003","1900001","2283867958","2390753280","0.8104510694865723","0.9340823537710742","0","0.0"
"stock-graph-pearson-05e1f6e1-e716-4b31-97cf-9456a2b6ec66","60","1","1000000","200000","1685480440253","1685480574116","1900001","2365033728","2692743168","0.8352626031076769","0.9293628398702073","10","5.263155124655198E-6"
"stock-graph-pearson-c1986768-df39-4593-89af-c8b3fa6e751a","80","1","1000000","200000","1685480972236","1685481141606","1900001","2647481402","2717908992","0.8684209473530704","0.9255749085724911","14","7.3684171745172765E-6"
"stock-graph-pearson-f8dc9491-82d3-411f-a6c6-43c38e2345fa","100","1","1000000","200000","1685481728060","1685481980038","1900001","2872390451","2952790016","0.9083134751819228","0.924797746075608","21","1.1052625761775915E-5"
