"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies",DummyStartTimeMs,DummyCurrentTimeMs
"stock-graph-pearson-4d28e48b-b439-4efa-94fa-e3bac0a68ed5","0","1","10000","5000","1685182945859","1685183054429","1900001","1562229363","1577058304","0.802153655595513","0.9289108008028055","21","1.1052625761775915E-5",1685393744813,1685393806819
"stock-graph-pearson-b565ca66-d39d-4cb1-8ad0-ae68dd5b3773","0","1","10000","2000","1685183061650","1685183175268","1900001","1866377647","1895825408","0.8058057134140045","0.9320534834978915","21","1.1052625761775915E-5",1685393813953,1685393877791
"stock-graph-pearson-9cf817d5-f59b-4c1c-8564-79366e9cf0e8","0","1","100000","50000","1685183182531","1685183297989","1900001","1568086321","1577058304","0.8099373317886727","0.9338458696662993","21","1.1052625761775915E-5",1685393884942,1685393947133
"stock-graph-pearson-50dd329f-479c-4ae9-a50c-7b26552989f0","0","1","100000","20000","1685183305292","1685183418695","1900001","1838138084","1895825408","0.8040140230786367","0.9329300423225547","21","1.1052625761775915E-5",1685393954235,1685394017312
"stock-graph-pearson-b935df26-bc91-4a7a-b316-ab20bfe7f5d9","0","1","1000000","500000","1685183426009","1685183535691","1900001","2150921350","2281701376","0.8089541522687407","0.9333884714307328","21","1.1052625761775915E-5",1685394024429,1685394087124
"stock-graph-pearson-db6ee6dd-12dc-4291-83b7-c756bfc94061","0","1","1000000","200000","1685183542929","1685183649856","1900001","2533267478","2810183680","0.7982950625821624","0.9295528944203315","21","1.1052625761775915E-5",1685394094251,1685394157288
"stock-graph-pearson-325ca4fd-a384-469d-8da2-f92efe7a680f","0","1","10000000","5000000","1685183657110","1685183766380","1900001","3211212437","3305111552","0.7964529077989128","0.9329955369636623","21","1.1052625761775915E-5",1685394164404,1685394227259
"stock-graph-pearson-8610503a-33f9-402d-9ac3-cd1f2ae16306","0","1","10000000","2000000","1685183773686","1685183885380","1900001","5045429428","6073352192","0.7959238491022906","0.9330261975840267","21","1.1052625761775915E-5",1685394234393,1685394298575
"stock-graph-pearson-a6fb361e-f08f-4f7d-86be-90a42f535da4","0","5","1000000","200000","1685192089318","1685192200375","1900001","2786306186","2944401408","0.8074392545932308","0.9299875943111944","1094","5.757891706372787E-4",,
"stock-graph-pearson-5a739901-c2e4-4a62-b175-e7dc14ec6802","0","5","100000","20000","1685192207772","1685192318104","1900001","1569394025","1577058304","0.8089011969991224","0.9319342638415411","1094","5.757891706372787E-4",,
"stock-graph-pearson-2777ab7a-6e70-4a2c-aa78-a4da3c1799b9","0","10","1000000","200000","1685192325290","1685192435464","1900001","2738482324","2835349504","0.804723111906406","0.9312988986023409","4603","0.0024226303038787874",,
"stock-graph-pearson-9228f4dc-6c4d-427b-866c-3c218af97ae0","0","10","100000","20000","1685192442729","1685192553371","1900001","1569394025","1577058304","0.8090411466581848","0.9229797685842666","4603","0.0024226303038787874",,
"stock-graph-pearson-932a1929-e830-4c33-b63d-ebde52c51398","0","20","1000000","200000","1685192560613","1685192784231","1900001","4746731497","5234491392","0.8878699010515981","0.9319471432537025","16860","0.008873679540168664",,
"stock-graph-pearson-d252d959-ffeb-45a8-b1f2-a57bfd73e133","0","20","100000","20000","1685192791614","1685192909288","1900001","1791329005","1895825408","0.8140020591219261","0.9294460980599374","16860","0.008873679540168664",,
