"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies",DummyStartTimeMs,DummyCurrentTimeMs
"e6c7294e-2454-4d36-a261-2fe3dfb53720","0","1","10000","5000","1685394305812","1685394369844","1900001","1555031588","1577058304","0.6980644494151886","0.9340532738312002","21","1.1052625761775915E-5",1684952281936,1684952312606
"8e776a7b-72d7-4be9-bc06-5c37f423bc06","0","1","10000","2000","1685394376942","1685394440514","1900001","1559784306","1577058304","0.6942575736571914","0.9332311546617416","21","1.1052625761775915E-5",1684952450618,1684952482471
"df5ab9a5-1b4b-47f8-ae1b-e66e84e06555","0","1","100000","50000","1685394447618","1685394513020","1900001","1558155892","1577058304","0.7055794769619828","0.9320281846470116","21","1.1052625761775915E-5",1684952626390,1684952659492
"da7951b8-111d-4239-993e-b9729919bf41","0","1","100000","20000","1685394520088","1685394588930","1900001","1854458201","1895825408","0.7176394886830756","0.9306293461740218","21","1.1052625761775915E-5",1684952835912,1684952872831
"946dd5c3-9e61-4fc3-a8e9-d9d193231736","0","1","1000000","500000","1685394596051","1685394691953","1900001","2041863146","2088763392","0.7930641661377956","0.9318004728299849","21","1.1052625761775915E-5",1684953094230,1684953157470
"3c0a39d3-58a9-4de4-a40d-0a25805eb503","0","1","1000000","200000","1685394699084","1685394907363","1900001","3019439453","3137339392","0.8954052601587262","0.9317711143210178","21","1.1052625761775915E-5",1684953554973,1684953729663
"9559711b-7593-4178-ba12-6df5c705a543","0","1","10000000","5000000","1685394914480","1685396249330","1900001","4793390822","5200936960","0.9757139043734285","0.980941834265364","21","1.1052625761775915E-5",1684955676826,1684957265445
"40bb9d36-cd17-445b-85fb-7f98d04543a4","0","1","10000000","2000000","1685396256651","1685401256224","1900001","6802990251","7507804160","0.98828378888679","0.9922076090659684","21","1.1052625761775915E-5",1684962502133,1684967802716
"d50aa429-f924-4d57-b627-419bf600bd6f","0","1","10000","5000","1685558090687","1685558153629","1900001","1555046564","1577058304","0.693138895035471","0.929889505619527","21","1.1052625761775915E-5",1684952281936,1684952312606
"ef0c9705-0663-4355-9c77-377a5b7ec439","0","1","10000","2000","1685558428662","1685558492596","1900001","1558761426","1577058304","0.6981006025242159","0.9332107706260527","21","1.1052625761775915E-5",1684952450618,1684952482471
"6df31c84-3f97-418e-aaf9-ba75dd028668","0","1","100000","50000","1685558770540","1685558834792","1900001","1856818524","1895825408","0.6984416813242506","0.9311985264399345","21","1.1052625761775915E-5",1684952626390,1684952659492
"3c9f5bb2-3f0f-41fa-b7ef-69ffc4218b80","0","1","100000","20000","1685559125093","1685559193863","1900001","1861226515","1895825408","0.716410841292974","0.9283909891922393","21","1.1052625761775915E-5",1684952835912,1684952872831
"1b2aa22f-55b0-494e-a7c2-82bda917f541","0","1","1000000","500000","1685559548187","1685559643239","1900001","2033319742","2080374784","0.7925240145063784","0.9294267339801128","21","1.1052625761775915E-5",1684953094230,1684953157470
"22875e7a-745d-4367-a939-24191ae59840","0","1","1000000","200000","1685560181920","1685560387501","1900001","3230323583","3347054592","0.8946584866190492","0.9198217503011695","21","1.1052625761775915E-5",1684953554973,1684953729663
"9a203c35-d572-4b55-ae7b-b81564159c75","0","1","10000000","5000000","1685562613551","1685563949994","1900001","4765353765","5427429376","0.9757556277304291","0.980958199251855","21","1.1052625761775915E-5",1684955676826,1684957265445
"381c8c99-01cc-4e64-b103-34d2df2cdedd","0","1","10000000","2000000","1685570642080","1685575634095","1900001","6510644012","7298088960","0.9880669972944488","0.9921542486506711","21","1.1052625761775915E-5",1684962502133,1684967802716
