"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies"
"stock-graph-pearson-0feb36d0-82f7-4f0d-84ef-7beaaf828e09","0","1","10000","5000","1724832528969","1724832534994","100001","1342616838","1577058304","0.7865637595026669","0.9291391598173135","99992","0.999910000899991"
"stock-graph-pearson-634130fc-2d49-4d14-a930-a7147ed156b2","0","1","10000","2000","1724832593158","1724832599532","100001","1435797906","1577058304","0.8041171030070942","0.9314104841165127","99992","0.999910000899991"
"stock-graph-pearson-58db18b9-53e7-4e58-8eb5-9f0b19b3f32b","0","1","100000","50000","1724832678604","1724832693810","100001","1993341329","2415919104","0.9014947758076599","0.9303381981061581","99992","0.999910000899991"
"stock-graph-pearson-9cbf7781-2efe-414b-b438-160c8b8db2d4","0","1","100000","20000","1724832810116","1724832838554","100001","2720565134","2994733056","0.940389895240035","0.9497656001737935","99992","0.999910000899991"
"stock-graph-pearson-8829f083-1656-4e59-adff-72c5f14f60ca","0","1","1000000","500000","1724833908389","1724834379822","100001","4612810320","5276434432","0.9887731294263027","0.9935791545306315","99992","0.999910000899991"
"stock-graph-pearson-542068e2-630a-42cc-82d1-d2f0f00d2aec","0","1","1000000","200000","1724836839097","1724837969663","100001","9321644746","11022630912","0.9912078022438611","0.9957369295035418","99992","0.999910000899991"
"stock-graph-pearson-edb43f87-a074-4a88-a113-0119d02059e6","0","1","10000000","5000000","1724863980140","1724877036742","49002","9562506742","16106127360","0.9851692035526933","0.9967458589110972","48993","0.9998163340271826"
"stock-graph-pearson-edb43f87-a074-4a88-a113-0119d02059e6","0","1","10000000","5000000","1724877036850","1724887968904","34695","8772567366","16106127360","0.9965223155112668","0.9968225435803881","34686","0.9997405966277562"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724907224322","1724910523929","40763","8117444389","16106127360","0.9840346176631726","0.9980582093295911","40754","0.9997792115398768"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724910524036","1724911459761","4924","8121099311","16106127360","0.9980398697747023","0.998050902666883","4915","0.9981722177091795"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724911459877","1724913911736","3418","4060086272","4060086272","0.9980160701423578","0.998023081127971","3409","0.997366881217086"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724913911841","1724914969723","3511","4060086272","4060086272","0.997994640431957","0.9980023629190186","3502","0.9974366277413842"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724914969828","1724915952706","3511","3414266193","5586812928","0.9979676076368348","0.9979756680534405","3502","0.9974366277413842"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724915952815","1724917196701","3463","5586812928","5586812928","0.9978775537054244","0.9979322992174993","3454","0.9974010973144672"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724917196820","1724918225684","4160","5586812928","5586812928","0.9978242935426491","0.9978334320374915","4151","0.9978365384615384"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724918225787","1724919137669","3461","5586812928","5586812928","0.9977837897385701","0.9977906538078242","3452","0.9973995954926322"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724919137782","1724920856653","3379","5586812928","5586812928","0.9977373725581098","0.9977457510751851","3370","0.9973364900858243"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724920856763","1724921892668","5193","5586812928","5586812928","0.997686478578049","0.9976981048451099","5184","0.9982668977469671"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724921892774","1724922227633","3356","5586812928","5586812928","0.9976281386524771","0.9976346935108944","3347","0.9973182359952324"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724922227739","1724924516609","4029","5586812928","5586812928","0.997570129125034","0.9975785117091465","4020","0.9977661950856291"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724924516717","1724926559584","4450","5200912453","6970933248","0.9974832312776634","0.9974926586342933","4441","0.9979775280898876"
"stock-graph-pearson-e434c924-7c74-4256-be08-f7c7c8216b52","0","1","10000000","2000000","1724926559688","1724927180632","6161","6970933248","6970933248","0.9972919662339882","0.9973070890800232","6152","0.9985391981821133"
