"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"issa-consumer-group013f5016-77f1-4bd6-8fcb-bd9b1064bfaa","0","1","10","5","1684882029053","1684882040394","500","1090519040","1090519040","0.7339998800727127","0.9242128424445271","0"
"issa-consumer-group716cb9e5-6066-4be9-9dfe-774db4e01200","0","1","10","2","1684882120695","1684882141024","500","1090519040","1090519040","0.7129020245186679","0.9286822193207381","0"
"issa-consumer-groupf78dd092-d080-457e-89fa-4541693fab1e","0","1","100","50","1684882237053","1684882259031","500","1090519040","1090519040","0.6637631657911072","0.9304517578706922","0"
"issa-consumer-group59cdce92-f468-41c2-ac1e-f8203b4ca94e","0","1","100","20","1684882378500","1684882401717","500","1090519040","1090519040","0.6619142178669171","0.9315177803514154","0"
"issa-consumer-group572b184b-9bc4-4a1e-b8a0-c7ad60ee18b9","0","1","1000","500","1684882520917","1684882560739","500","1090519040","1090519040","0.639937031743174","0.9202219324189004","0"
"issa-consumer-group791d7eb3-2aaa-4b73-9f4c-bc857f955c02","0","1","1000","200","1684882680945","1684882735370","500","1090519040","1090519040","0.6329431959287479","0.9174679159893149","0"
"issa-consumer-group203a68b2-7449-471d-99cb-2b263d6bbe99","0","1","10000","5000","1684882901907","1684882955748","500","1090519040","1090519040","0.6238169510216937","0.9227623664883375","0"
"issa-consumer-group9f5c9f94-e517-44ed-9e44-ee25cdad77dc","0","1","10000","2000","1684883110954","1684883154469","500","1090519040","1090519040","0.6294864297011724","0.9266727376560836","0"
"issa-consumer-groupcda3ed0d-aa28-4098-99d4-f3bb153027b7","0","2","1000","200","1684883312029","1684883369185","500","1090519040","1090519040","0.6226877108025636","0.9246805072712139","0"
"issa-consumer-group5ee4bc13-cbac-4a5d-a452-c44690251a40","0","5","1000","200","1684883511971","1684883601204","500","1090519040","1090519040","0.6026729501724242","0.9215120210072802","0"
"issa-consumer-group5c96694d-e3ac-481e-8150-60f5e9d54cc6","0","10","1000","200","1684883810382","1684883933536","500","1090519040","1090519040","0.606008871694713","0.9220447732519311","0"
"issa-consumer-group6a20ffc5-99ed-4620-a726-2888e567c7f9","0","20","1000","200","1684884203825","1684884345581","500","1090519040","1090519040","0.5980188289049347","0.9308186674448998","0"
"issa-consumer-groupb786763d-2ce6-48e2-a5a9-27d50affd06a","0","1","10","5","1684885135246","1684885207922","500","1090519040","1090519040","0.7054950738172652","0.9286082211892872","0"
"issa-consumer-group7c9b846f-318e-4ecd-bc68-f63d3c541e35","0","1","10","2","1684885349718","1684885370219","500","1090519040","1090519040","0.7099222064246884","0.9290575809541127","0"
"issa-consumer-group878a4f9d-4883-400b-b0f1-2d9706384a25","0","1","100","50","1684885463499","1684885491395","500","1090519040","1090519040","0.655453494483958","0.9278767398975952","0"
"issa-consumer-groupf575c04b-7fdb-4212-a09d-eee8cd8c7cb1","0","1","100","20","1684885611653","1684885649531","500","1090519040","1090519040","0.6511191833243108","0.9281737351483201","0"
"issa-consumer-group4890346a-d424-4530-a5d5-1bab706d13a0","0","1","1000","500","1684885787745","1684885835321","500","1090519040","1090519040","0.639710230056575","0.9273066721522498","0"
"issa-consumer-groupcc938ab9-4638-4ac0-98dc-d2525cfdf1ec","0","1","1000","200","1684885966662","1684886013123","500","1090519040","1090519040","0.6333805356959874","0.9270191806964423","0"
"issa-consumer-group4fb9cbc4-116e-4d6a-abed-768fb343cec2","0","1","10000","5000","1684886155696","1684886215662","500","1090519040","1090519040","0.620706532813129","0.9289480283464859","0"
"issa-consumer-group55df7681-6c5f-4736-b3ff-615fbd812f7c","0","1","10000","2000","1684886389065","1684886443773","500","1090519040","1090519040","0.6313323293183795","0.9281193785010579","0"
"issa-consumer-groupda490096-de75-42fc-93c4-1fe47f7ef79f","0","2","1000","200","1684886571972","1684886617915","500","1090519040","1090519040","0.635720917307862","0.9308407418402262","0"
"issa-consumer-groupc8833d05-8e5e-44da-90d9-c64ba4941eb2","0","5","1000","200","1684886753294","1684886834515","500","1090519040","1090519040","0.6012404094734305","0.9297156137544982","0"
"issa-consumer-group8e953e57-e305-4376-ae2b-e952287aebca","0","10","1000","200","1684887030579","1684887140826","500","1090519040","1090519040","0.5912043387453682","0.9266135751876322","0"
"issa-consumer-group7366916a-ff0a-4dc4-94af-d542173f276b","0","20","1000","200","1684887403583","1684887555376","500","1090519040","1090519040","0.595298482173515","0.9295821098095426","0"
"issa-consumer-group1b1f6125-917d-44b1-b4c3-f901370bb8e1","0","1","10","5","1684888097525","1684888167594","500","1090519040","1090519040","0.7069080384289989","0.9280421892709612","0"
"issa-consumer-group3fb243d2-5a28-460b-9611-786585e54276","0","1","10","2","1684888307445","1684888327800","500","1090519040","1090519040","0.7104242728017104","0.9296928542236474","0"
"issa-consumer-group55006bcd-4116-4a40-91e1-9429345ddd9a","0","1","100","50","1684888418706","1684888446660","500","1090519040","1090519040","0.6589280022257598","0.9288399788010101","0"
"issa-consumer-group85df9c7c-bb21-4286-8d80-66095fe09c9b","0","1","100","20","1684888568239","1684888612259","500","1090519040","1090519040","0.6493811695743316","0.930209679962163","0"
"issa-consumer-group8a72c228-d0c0-4345-ae59-d8ec59030458","0","1","1000","500","1684888747943","1684888784923","500","1090519040","1090519040","0.6358611884607853","0.9287274587070318","0"
"issa-consumer-group33794119-9136-4981-a9cf-3e5973cb897b","0","1","1000","200","1684888932224","1684888977205","500","1090519040","1090519040","0.6342504239400603","0.9276732859673705","0"
"issa-consumer-group58463cc2-5a1e-4d56-b185-e9dae38a78b4","0","1","10000","5000","1684889102816","1684889151205","500","1090519040","1090519040","0.626383471173518","0.931397951142632","0"
"issa-consumer-groupc56e31fe-90a8-4f4a-b2d6-44c42b7bd123","0","1","10000","2000","1684889315404","1684889359329","500","1090519040","1090519040","0.6308759739382411","0.9295747072717857","0"
"issa-consumer-group5fea6531-8e32-4215-981a-fb0cd3a51b9c","0","2","1000","200","1684889523776","1684889569169","500","1090519040","1090519040","0.6426306969870587","0.9327170934783016","0"
"issa-consumer-group80ce4b5b-fd3c-4e47-af69-0f47dceb4b1d","0","5","1000","200","1684889707033","1684889784302","500","1090519040","1090519040","0.607955249090966","0.9281741908469161","0"
"issa-consumer-groupc3cd8233-f962-407a-9bed-50fc9e8745fc","0","10","1000","200","1684889988376","1684890101815","500","1090519040","1090519040","0.5924203086429418","0.9289224510937194","0"
"issa-consumer-group68e8c4bd-1dd8-44d3-b8d2-c5238daf0af6","0","20","1000","200","1684890369915","1684890512073","500","1090519040","1090519040","0.5980865176227658","0.9290641414886703","0"
