"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies",AverageInconsistencies
"9dc7258e-b998-4d07-b277-8bc2a3b5ae85","0","1","10","5","1684952202019","1684952232669","1900001","1090519040","1090519040","0.4179836990702539","0.9308824328555569",1656,8.715784886429007E-4
"05cf74b0-1612-4ab0-a424-55c7a53f282e","0","1","10","2","1684952360267","1684952392074","1900001","1090519040","1090519040","0.4380858247258357","0.9334702087306329",1656,8.715784886429007E-4
"8c727894-0292-4ff7-9268-9c11c4a027a8","0","1","100","50","1684952531470","1684952563142","1900001","1090519040","1090519040","0.43557787647798746","0.9323781890736441",1656,8.715784886429007E-4
"ea080879-974d-4feb-a0de-920616c0cf20","0","1","100","20","1684952712561","1684952747526","1900001","1090519040","1090519040","0.4820728524948152","0.9313805726816163",1656,8.715784886429007E-4
"095db4f1-6b36-4919-8662-fff4cbcd9da6","0","1","1000","500","1684952982609","1684953019938","1900001","1090519040","1090519040","0.5128269333758838","0.9322402263374485",1656,8.715784886429007E-4
"c30d9df1-fdad-4b4f-9ad0-afb63ece7e69","0","1","1000","200","1684953419371","1684953467531","1900001","1090519040","1090519040","0.6176360421710603","0.9325646974277255",1656,8.715784886429007E-4
"5f104d61-678f-4c14-894d-82e18b511c29","0","1","10000","5000","1684955552875","1684955602579","1900001","1090519040","1090519040","0.6234602190855415","0.9326421623033231",1656,8.715784886429007E-4
"dac5f53a-9d21-496f-a2c2-56bf71c0ebfb","0","1","10000","2000","1684962348010","1684962426603","1900001","1090519040","1090519040","0.75469494095195","0.931327101923082",1656,8.715784886429007E-4
26cbf438-fee6-4d3a-bcf5-3a8dbfaa9125,0,1,10,5,1685658510390,1685658543482,1900001,1090519040,1090519040,0.42579219911503885,0.9288661441708751,1656,8.715784886429007E-4
9122e978-c318-406c-816b-72c1c4329145,0,1,10,2,1685658602152,1685658636614,1900001,1090519040,1090519040,0.4450695994363509,0.9300574696270819,1656,8.715784886429007E-4
344a5666-f458-42d0-9e10-56b5ff9734e6,0,1,100,50,1685658697951,1685658731912,1900001,1090519040,1090519040,0.4429140856136083,0.926915850860841,1656,8.715784886429007E-4
cf484eed-6e8a-4684-ba15-1ee4ba8084cf,0,1,100,20,1685658796204,1685658833456,1900001,1090519040,1090519040,0.48383841723919335,0.9283507638239379,1656,8.715784886429007E-4
7295ca9f-aab6-4e80-aa53-68ab2ef50751,0,1,1000,500,1685658964675,1685659005675,1900001,1090519040,1090519040,0.5216550515453826,0.9284271042217868,1656,8.715784886429007E-4
a67f5f94-d59f-4541-a43a-0fcb5df6df35,0,1,1000,200,1685659294311,1685659346170,1900001,1090519040,1090519040,0.6210819447370435,0.9291657987919183,1656,8.715784886429007E-4
a0039340-a0c0-4eee-b911-fd91920c0b6f,0,1,10000,5000,1685661244177,1685661298117,1900001,1090519040,1090519040,0.6268394608115879,0.9329471215808888,1656,8.715784886429007E-4
cfc0e6ad-b193-4b7f-85e9-562b757f45ed,0,1,10000,2000,1685666766271,1685666850954,1900001,1090519040,1090519040,0.756334221917676,0.9307475911414324,1656,8.715784886429007E-4
