"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"issa-consumer-group99524860-06a0-43ea-80e3-d8bd731d20ca","0","1","10000","5000","1684882010376","1684882028827","500","1090519040","1090519040","0.6311461120763473","0.91914794280712","0"
"issa-consumer-group47297695-913c-4a81-ba1d-fbbe2d43a119","0","1","10000","2000","1684882094830","1684882120471","500","1090519040","1090519040","0.6249202463141574","0.923082181441173","0"
"issa-consumer-groupc4c3fdaf-29d1-4ee6-b0b4-84357046b35d","0","1","100000","50000","1684882199502","1684882236821","500","1090519040","1090519040","0.6141677190164289","0.9301664143441639","0"
"issa-consumer-group5febff68-7676-4500-8996-9a616c38c0d0","0","1","100000","20000","1684882340191","1684882378268","500","1090519040","1090519040","0.6220835984338406","0.9339383866527708","0"
"issa-consumer-groupf4786fbb-c8bf-42cc-b08e-1675c210b23f","0","1","1000000","500000","1684882477544","1684882520670","500","1090519040","1090519040","0.6047931984233501","0.9264425877985933","0"
"issa-consumer-group5f131e50-2405-4920-9adc-f292f1fbe9cd","0","1","1000000","200000","1684882639126","1684882680670","500","1090519040","1090519040","0.6195267335664524","0.9327817216775567","0"
"issa-consumer-group66346ddc-cf9a-4ec6-9a0f-676196a19d20","0","1","10000000","5000000","1684882850336","1684882901671","500","1090519040","1090519040","0.6245718879046697","0.9259374952613463","0"
"issa-consumer-groupd560ff6a-2ec1-4c20-8273-2a5e27a324a3","0","1","10000000","2000000","1684883060013","1684883110701","500","1090519040","1090519040","0.6060430569808338","0.9316565371153014","0"
"issa-consumer-group42837388-71bf-4404-90de-70f842101f9b","0","2","1000000","200000","1684883262159","1684883311784","500","1090519040","1090519040","0.6144746475731132","0.9285312528349814","0"
"issa-consumer-group691d1c05-d45b-4022-99bd-5d99549c02fb","0","5","1000000","200000","1684883438156","1684883511729","500","1090519040","1090519040","0.5896755437091656","0.9187596559664254","0"
"issa-consumer-group0c61346a-7fef-4055-9d52-0265b41838f3","0","10","1000000","200000","1684883696903","1684883810136","500","1090519040","1090519040","0.588046668205702","0.9172109179489172","0"
"issa-consumer-groupcba59144-4065-4961-b001-308d464fa0b8","0","20","1000000","200000","1684884069063","1684884203584","500","1090519040","1090519040","0.5840123020883932","0.927473849029869","0"
"issa-consumer-group0b9eb599-64c6-458a-a2f9-a132a9c675ef","0","1","10000","5000","1684885006894","1684885135002","500","1090519040","1090519040","0.5926924397945977","0.9273981856212559","0"
"issa-consumer-group0a229b6e-b8d7-4fa8-9742-6ead88abdbda","0","1","10000","2000","1684885324029","1684885349473","500","1090519040","1090519040","0.6263863540507251","0.9276161504759942","0"
"issa-consumer-group4d67d5f1-6401-4d2d-9125-017e98921c7c","0","1","100000","50000","1684885426227","1684885463274","500","1090519040","1090519040","0.6124035373532413","0.927767062200071","0"
"issa-consumer-groupcd16277b-495a-4ad2-8ccc-c652a9d04261","0","1","100000","20000","1684885571901","1684885611427","500","1090519040","1090519040","0.6123153328440232","0.9292439121853165","0"
"issa-consumer-groupc31a4d78-0288-4042-b3c6-6c9bedecc2f7","0","1","1000000","500000","1684885746820","1684885787515","500","1090519040","1090519040","0.6156444717391031","0.9216570085358864","0"
"issa-consumer-group63dcf48d-323c-4256-a845-0d6c3a19d024","0","1","1000000","200000","1684885916544","1684885966424","500","1090519040","1090519040","0.6095855140166453","0.9289320831815909","0"
"issa-consumer-groupd9685f09-1d82-45c3-9c89-ad7bbaceee42","0","1","10000000","5000000","1684886111867","1684886155467","500","1090519040","1090519040","0.6107126324616241","0.9300154275842744","0"
"issa-consumer-group32988491-ad75-462f-9619-22a1218c62ae","0","1","10000000","2000000","1684886332388","1684886388830","500","1090519040","1090519040","0.6108266427955451","0.9257252169620267","0"
"issa-consumer-groupe453312b-feaf-4060-9965-51bdf492042d","0","2","1000000","200000","1684886527612","1684886571744","500","1090519040","1090519040","0.6129985928318935","0.9299336145999246","0"
"issa-consumer-group29e2d2c3-09fc-4ddf-8e22-8baaf83aa9d4","0","5","1000000","200000","1684886680996","1684886753066","500","1090519040","1090519040","0.5913254504312186","0.9280769254146837","0"
"issa-consumer-group3dd3ac90-cb09-479c-9107-c9b8da059aa4","0","10","1000000","200000","1684886926813","1684887030341","500","1090519040","1090519040","0.5786911460644713","0.9262497773242069","0"
