"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"stock-graph-pearson-3d7a9c67-5c92-4e7c-9b33-795dd816028b","0","1","8640000000","4320000000","1684707410400","1684708016729","200001","1895825408","1895825408","0.9680930656305854","0.9687631369634216","1248"
"stock-graph-pearson-c86ba213-f441-4653-adba-fd66d381b8a6","0","1","8640000000","4320000000","1684708126575","1684708732951","200001","2132205049","2281701376","0.9691248495172834","0.9698289276941492","1280"
"stock-graph-pearson-a2acf0fe-214a-495f-9280-fbbae2646fd4","0","1","8640000000","4320000000","1684708844208","1684709450665","200001","1577058304","1577058304","0.9664033337307923","0.9674917408860535","1248"
"stock-graph-pearson-b3eba0a3-551d-4f89-ab1e-10481cce59af","0","1","8640000000","1728000000","1684709563126","1684709929385","200001","1895825408","1895825408","0.9724393847682057","0.9733569516760262","1200"
"stock-graph-pearson-a32bf060-8546-400f-92f4-c5bccc64afc0","0","1","8640000000","1728000000","1684710088541","1684710454924","200001","1895825408","1895825408","0.9723894947934422","0.9737603421263729","1200"
"stock-graph-pearson-d9be1a1c-257e-45b2-a292-937a6beacf2a","0","1","8640000000","1728000000","1684710614865","1684710981161","200001","2180988251","2281701376","0.9723952467210129","0.9737212642601129","1200"
"stock-graph-pearson-96d3889e-8104-4c32-900b-0b9669a72182","0","1","8640000000","864000000","1684711140389","1684711409690","200001","1986574173","2281701376","0.975771711042752","0.9793386668530476","960"
"stock-graph-pearson-845d118d-fa83-45dc-90fc-8a1f5c3a971b","0","1","8640000000","864000000","1684711644764","1684711914260","200001","1987586925","2281701376","0.975394520373378","0.9785634988017483","960"
"stock-graph-pearson-67725698-6245-4d18-baf2-bd10e2c98f9c","0","1","8640000000","864000000","1684712154080","1684712423030","200001","1991174463","2281701376","0.9757273529929799","0.9788991735588319","960"
"stock-graph-pearson-6f7ecfc1-0ceb-4c17-99ab-225232c9fed0","0","1","43200000000","21600000000","1684712657593","1684717055401","200001","1895825408","1895825408","0.9853971966211279","0.9882445031347789","6384"
"stock-graph-pearson-f1ea298a-b486-4967-a4c5-1850ea759870","0","1","43200000000","21600000000","1684721089901","1684725488017","200001","1895825408","1895825408","0.9850817589581746","0.9878053011428701","6448"
"stock-graph-pearson-f6849be4-c1e2-477f-a408-6e1e5106cfc0","0","1","43200000000","21600000000","1684729122457","1684733550548","200001","3051954317","3229614080","0.9851670711645997","0.9879664736861308","6256"
