"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"fb4f1751-23f6-4bbe-9090-425b6b56f51c","0","1","10000","5000","1685402222001","1685402272254","1900001","1090519040","1090519040","0.6254773311739071","0.9281775646379467","0"
"23b71e30-0752-4c40-80a2-60ce22caf9e8","0","1","10000","2000","1685402279320","1685402327328","1900001","1090519040","1090519040","0.6138747896173965","0.9296483339760578","0"
"4368dbae-fc4d-4127-b087-2b62fe6cae6f","0","1","100000","50000","1685402334415","1685402384237","1900001","1090519040","1090519040","0.6288996531203289","0.9306848375006599","0"
"e5c212fe-ae78-4d2e-bdf9-3fc28726b0e5","0","1","100000","20000","1685402391305","1685402440218","1900001","1090519040","1090519040","0.6231482057351061","0.9313377809380092","0"
"7e86b9e4-0116-4566-b382-67bd9872dc40","0","1","1000000","500000","1685402447286","1685402497203","1900001","1090519040","1090519040","0.6227175293883981","0.9320127491386769","0"
"25f2ea3a-5be1-4454-bcf2-07d4f973f85b","0","1","1000000","200000","1685402504250","1685402553945","1900001","1090519040","1090519040","0.6248557033929066","0.926475232191446","0"
"c2753cf8-bbe2-4501-9cd2-d4028207a0f2","0","1","10000000","5000000","1685402560989","1685402610777","1900001","1090519040","1090519040","0.6280277461807899","0.9342745861733204","0"
"d717475a-1e35-406d-b380-bfec79bf459a","0","1","10000000","2000000","1685402617857","1685402667311","1900001","1090519040","1090519040","0.6241450811178185","0.9242830519198241","0"
"ddfd9e6b-d0a6-49ea-9e0b-cf1db13524e4","0","1","10000","5000","1685580837697","1685580887227","1900001","1090519040","1090519040","0.6253083373698378","0.9271319771736641","0"
"afa77d49-1268-4240-96c5-fb114eff00f7","0","1","10000","2000","1685581105622","1685581155110","1900001","1090519040","1090519040","0.6264632737036266","0.9344379657552201","0"
"b3b90e5b-4f49-4343-87f2-ec6f2c00854c","0","1","100000","50000","1685581372379","1685581421870","1900001","1090519040","1090519040","0.6275857088917236","0.9365542668407711","0"
"1398411c-88fe-428d-a28b-a96e28c50294","0","1","100000","20000","1685581638236","1685581688072","1900001","1090519040","1090519040","0.6280491198121064","0.9322757455242004","0"
"2a5c3974-763c-4dfa-8f96-87c8f947e872","0","1","1000000","500000","1685581906383","1685581956289","1900001","1090519040","1090519040","0.6305546259959135","0.9322754488402867","0"
"7741acd1-0524-4dda-a2e9-97d4d7de34a1","0","1","1000000","200000","1685582173765","1685582222679","1900001","1090519040","1090519040","0.6216713347318098","0.9299595620297942","0"
"e332d0dd-0c21-4043-8a52-10dd81c79a5e","0","1","10000000","5000000","1685582439942","1685582489686","1900001","1090519040","1090519040","0.6280887697179787","0.9287188545326319","0"
"fe6ba297-8c12-4f99-8c7a-bb176d53047a","0","1","10000000","2000000","1685582708111","1685582757017","1900001","1090519040","1090519040","0.6220452535234874","0.9311448573253833","0"
