"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"issa-consumer-group665590c6-5183-4368-bef4-a53a22991886","0","1","10000","5000","1684882040637","1684882073419","500","1090519040","1090519040","0.6156181646949969","0.9276156313508485","0"
"issa-consumer-groupd0e50430-5624-4c8b-af82-951932d3f47b","0","1","10000","2000","1684882141276","1684882174749","500","1090519040","1090519040","0.6142536725666187","0.9235515271362327","0"
"issa-consumer-group2067e605-8aed-4fae-a909-aabd133fdca4","0","1","100000","50000","1684882259260","1684882296055","500","1090519040","1090519040","0.6154017046675964","0.9265502671214937","0"
"issa-consumer-group60de690f-26a0-4618-9a77-3473872513c3","0","1","100000","20000","1684882401949","1684882438856","500","1090519040","1090519040","0.6195388637440397","0.9282337037775341","0"
"issa-consumer-group24392732-a2e2-4a28-9e46-beb0b63ab7aa","0","1","1000000","500000","1684882560969","1684882600071","500","1090519040","1090519040","0.6161177309656278","0.9276034150305","0"
"issa-consumer-groupfae4f5e5-12ac-4eda-9c14-6809a190c5b1","0","1","1000000","200000","1684882735604","1684882792385","500","1090519040","1090519040","0.6091309706763781","0.9271995683342327","0"
"issa-consumer-group6a3d38f8-3e55-4628-a16f-d75d679f475f","0","1","10000000","5000000","1684882955988","1684883000858","500","1090519040","1090519040","0.6111571214791163","0.9245889610228093","0"
"issa-consumer-group860579c6-7222-4bd7-960a-9df7ac226b5f","0","1","10000000","2000000","1684883154707","1684883209272","500","1090519040","1090519040","0.6146655414000334","0.9299519045422083","0"
"issa-consumer-groupe0957c81-afc7-443c-8e55-ddb213307983","0","1","1000000","200000","1684884505809","1684884545012","500","1090519040","1090519040","0.6182457771548406","0.9343864450055142","0"
"issa-consumer-group09b73dbd-15a0-44ed-b37e-3df05005919f","10","1","1000000","200000","1684884545235","1684884599260","500","1090519040","1090519040","0.611436605075731","0.9314405948606629","0"
"issa-consumer-group9ddf1083-561d-46d7-8689-d6ecbf2badf9","20","1","1000000","200000","1684884599501","1684884672018","500","1090519040","1090519040","0.6133326526997168","0.9294355846623007","0"
"issa-consumer-groupc6df4159-2c2f-42bb-8bb1-6b00f4dc02b7","30","1","1000000","200000","1684884672253","1684884765141","500","1090519040","1090519040","0.604518673673136","0.9304168465784659","0"
