"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"issa-consumer-group9304ad53-c83c-4588-996b-f8e73696a742","0","1","10000","5000","1684882073647","1684882094603","500","1090519040","1090519040","0.6427959496787387","0.9282102218599","0"
"issa-consumer-groupcba4ac78-6ff4-43de-9f44-dae175ec2e83","0","1","10000","2000","1684882174975","1684882199257","500","1090519040","1090519040","0.6364483475461633","0.9282545811232108","0"
"issa-consumer-group51a25439-2236-4b79-b2e3-9d636cd8d70c","0","1","100000","50000","1684882296290","1684882339962","500","1090519040","1090519040","0.6312902866772819","0.9338999932743828","0"
"issa-consumer-group528a51bb-43cd-4027-bf8f-78ab2b22f292","0","1","100000","20000","1684882439086","1684882477310","500","1090519040","1090519040","0.6183669671324991","0.9232172592810265","0"
"issa-consumer-group9a77133a-d5c1-48df-850c-b78f9fd9d021","0","1","1000000","500000","1684882600300","1684882638895","500","1090519040","1090519040","0.6261589683249882","0.9350771529212468","0"
"issa-consumer-group400d65a9-f436-4674-89dc-3e56a32acbf5","0","1","1000000","200000","1684882792652","1684882850083","500","1090519040","1090519040","0.6229172192260867","0.9149510442128016","0"
"issa-consumer-groupcd30279e-d9a9-4966-98b3-be4a3ec6dc61","0","1","10000000","5000000","1684883001122","1684883059775","500","1090519040","1090519040","0.6134335878979444","0.9196943863411319","0"
"issa-consumer-groupff6285a1-2cce-463f-abbb-7ecb1ab26def","0","1","10000000","2000000","1684883209512","1684883261919","500","1090519040","1090519040","0.616675172149838","0.9244070099340638","0"
"issa-consumer-groupf0631cce-e8df-4891-85d8-229435987b9e","0","2","1000000","200000","1684883369429","1684883437881","500","1090519040","1090519040","0.5957810749605285","0.926009058110079","0"
"issa-consumer-groupf721f6b7-790e-4a34-bfb8-871b473b1bc9","0","5","1000000","200000","1684883601445","1684883696638","500","1090519040","1090519040","0.5857171304991745","0.9215820269444672","0"
"issa-consumer-group5382dbb0-a620-4fa4-95b3-7abd468ac8ad","0","10","1000000","200000","1684883933768","1684884068830","500","1090519040","1090519040","0.592677679607742","0.9286865518687017","0"
"issa-consumer-group3f6cfc5b-969f-4978-ba55-005aa303e56b","0","20","1000000","200000","1684884345830","1684884505577","500","1090519040","1090519040","0.597584587010615","0.9291933122736729","0"
"issa-consumer-group96c98c65-cd2b-4988-928a-85ee12abce0c","0","1","10000","5000","1684885305194","1684885323791","500","1090519040","1090519040","0.6425084590836504","0.930376395991255","0"
"issa-consumer-groupb525385d-c167-4243-8121-958d4bb2cc5e","0","1","10000","2000","1684885403637","1684885426002","500","1090519040","1090519040","0.6359629869186546","0.9287741320409947","0"
"issa-consumer-group50dc2644-a296-43c9-891f-822cc19fac4f","0","1","100000","50000","1684885527749","1684885571656","500","1090519040","1090519040","0.615464366333252","0.9285493588753283","0"
"issa-consumer-group0517229c-6b98-4cf9-ba3b-5217d5bba83f","0","1","100000","20000","1684885701094","1684885746580","500","1090519040","1090519040","0.6231883133526449","0.9308169402330535","0"
"issa-consumer-group7f9d9b99-4ee4-4c4c-b302-a519fc25bf93","0","1","1000000","500000","1684885875892","1684885916320","500","1090519040","1090519040","0.6192855812369273","0.9290694422867796","0"
"issa-consumer-groupd6cedff3-898a-4f05-87bd-e80799dd1bbb","0","1","1000000","200000","1684886060149","1684886111641","500","1090519040","1090519040","0.6215899280169883","0.9294223145176514","0"
"issa-consumer-group015bc545-320a-4cf7-b63b-25fbd7c4dca5","0","1","10000000","5000000","1684886272699","1684886332154","500","1090519040","1090519040","0.6160359154997135","0.9288397474539167","0"
"issa-consumer-group15dcf20e-10e7-4343-ae43-f278f32b06f1","0","1","10000000","2000000","1684886487896","1684886527387","500","1090519040","1090519040","0.6174532307494287","0.929142796718232","0"
"issa-consumer-group8fc18600-9129-40e4-a37c-a6fb4840a791","0","2","1000000","200000","1684886618142","1684886680758","500","1090519040","1090519040","0.6015519898799199","0.9281153804084566","0"
"issa-consumer-groupb083e5b3-3861-4e16-9e34-a365b915ad3e","0","5","1000000","200000","1684886834747","1684886926584","500","1090519040","1090519040","0.587152448127971","0.9292553677190618","0"
"issa-consumer-group3504e4ba-72d3-4977-9aac-56af420f3faf","0","10","1000000","200000","1684887141068","1684887264869","500","1090519040","1090519040","0.5828963869240457","0.9330793424944771","0"
"issa-consumer-groupa108074d-2e3d-41ad-abaa-492063ca95f1","0","20","1000000","200000","1684887555604","1684887710930","500","1090519040","1090519040","0.585778053573811","0.9259538697072295","0"
"issa-consumer-group49ad775d-2b48-40ba-9b3a-c46b6647d93e","0","1","10000","5000","1684888263161","1684888281432","500","1090519040","1090519040","0.644854719834181","0.9280849658541449","0"
"issa-consumer-groupb2cadd54-54c5-467a-b0d2-6cb24fe48b92","0","1","10000","2000","1684888360773","1684888381027","500","1090519040","1090519040","0.6457200763197821","0.9313540447116172","0"
"issa-consumer-groupabc16814-ea31-4481-b3bb-b7fe28af33b7","0","1","100000","50000","1684888484255","1684888527801","500","1090519040","1090519040","0.6238047772066493","0.9301829743461862","0"
"issa-consumer-group19b8df73-5685-4f0d-a17d-f943b4e9d677","0","1","100000","20000","1684888663761","1684888710174","500","1090519040","1090519040","0.6179132363791382","0.9294142132632229","0"
"issa-consumer-group991441ac-828f-4691-be39-c15d073e2a63","0","1","1000000","500000","1684888830671","1684888883285","500","1090519040","1090519040","0.6238661428864167","0.9300172312598279","0"
"issa-consumer-group9c97c447-a624-40bc-9b66-8118ea31623c","0","1","1000000","200000","1684889014174","1684889053627","500","1090519040","1090519040","0.6274316256171221","0.936038174122156","0"
"issa-consumer-group3be2b080-7f4f-4464-ba4a-ef7ab1c892fc","0","1","10000000","5000000","1684889206999","1684889267098","500","1090519040","1090519040","0.6121922859321826","0.9300360124711001","0"
"issa-consumer-groupf0bbf07b-6aa6-4112-84be-f1da78e74346","0","1","10000000","2000000","1684889413862","1684889470297","500","1090519040","1090519040","0.6180371015196949","0.9267084675738742","0"
"issa-consumer-group197a106b-ad6c-4631-89a1-258eb449b9bc","0","2","1000000","200000","1684889569394","1684889628582","500","1090519040","1090519040","0.6085990442844669","0.9287597956451316","0"
"issa-consumer-group8b6c0c87-e5a2-4b66-a31a-a3c923396000","0","5","1000000","200000","1684889784545","1684889876379","500","1090519040","1090519040","0.5923354950351146","0.9263348264694569","0"
"issa-consumer-group4a4a30ee-5bfd-4183-9313-d51ac3f2ac4b","0","10","1000000","200000","1684890102051","1684890226685","500","1090519040","1090519040","0.587526893788949","0.9270557435746517","0"
"issa-consumer-group51092f6f-b7b3-446d-b4ff-b2cda55c7fd3","0","20","1000000","200000","1684890512313","1684890679584","500","1090519040","1090519040","0.5948924857768008","0.9258719559496829","0"
